State,Ag District,County,Commodity,Value
ILLINOIS,WEST,MCDONOUGH,CORN,31766000
SOUTH DAKOTA,NORTH CENTRAL,OTHER (COMBINED) COUNTIES,CORN,31757000
IOWA,WEST CENTRAL,MONONA,CORN,31736000
NORTH DAKOTA,CENTRAL,STUTSMAN,CORN,31689000
MINNESOTA,CENTRAL,KANDIYOHI,CORN,31617000
NORTH DAKOTA,EAST CENTRAL,BARNES,CORN,31490000
NORTH DAKOTA,SOUTHEAST,DICKEY,CORN,31472000
ILLINOIS,WEST,ADAMS,CORN,31453000
MINNESOTA,CENTRAL,SIBLEY,CORN,31417000
IOWA,NORTHEAST,BLACK HAWK,CORN,31388000
IOWA,NORTH CENTRAL,MITCHELL,CORN,31096000
ILLINOIS,CENTRAL,WOODFORD,CORN,31010000
IOWA,EAST CENTRAL,JONES,CORN,30885000
IOWA,CENTRAL,POWESHIEK,CORN,30868000
NEBRASKA,SOUTHWEST,PERKINS,CORN,30818000
IOWA,NORTHEAST,DUBUQUE,CORN,30579000
NEBRASKA,NORTHEAST,CUMING,CORN,30267000
ILLINOIS,NORTHWEST,MERCER,CORN,30228000
IOWA,NORTHEAST,CLAYTON,CORN,30217000
ILLINOIS,WEST SOUTHWEST,MORGAN,CORN,30207000
NEBRASKA,SOUTHEAST,CLAY,CORN,29860000
ILLINOIS,EAST,PIATT,CORN,29832000
MINNESOTA,WEST CENTRAL,CHIPPEWA,CORN,29824000
WISCONSIN,SOUTH CENTRAL,ROCK,CORN,29800000
MINNESOTA,WEST CENTRAL,OTTER TAIL,CORN,29769000
SOUTH DAKOTA,NORTHEAST,ROBERTS,CORN,29750000
IOWA,EAST CENTRAL,LINN,CORN,29749000
IOWA,NORTHWEST,CLAY,CORN,29516000
SOUTH DAKOTA,EAST CENTRAL,MINNEHAHA,CORN,29514000
MINNESOTA,SOUTH CENTRAL,BROWN,CORN,29478000
IOWA,CENTRAL,DALLAS,CORN,29259000
IOWA,NORTH CENTRAL,HUMBOLDT,CORN,28983000
ILLINOIS,EAST,FORD,CORN,28718000
MINNESOTA,WEST CENTRAL,STEVENS,CORN,28712000
MINNESOTA,SOUTHEAST,GOODHUE,CORN,28629000
NEBRASKA,SOUTHEAST,THAYER,CORN,28506000
IOWA,WEST CENTRAL,IDA,CORN,28474000
IOWA,NORTH CENTRAL,FLOYD,CORN,28419000
INDIANA,NORTHWEST,JASPER,CORN,28100000
SOUTH DAKOTA,EAST CENTRAL,MOODY,CORN,27891000
SOUTH DAKOTA,EAST CENTRAL,BROOKINGS,CORN,27868000
NEBRASKA,EAST,BUTLER,CORN,27567000
IOWA,SOUTHEAST,MAHASKA,CORN,27489000
WISCONSIN,SOUTHWEST,GRANT,CORN,27401000
IOWA,EAST CENTRAL,IOWA,CORN,27299000
IOWA,NORTH CENTRAL,WINNEBAGO,CORN,27213000
NEBRASKA,NORTHEAST,MADISON,CORN,27206000
KANSAS,WEST CENTRAL,OTHER (COMBINED) COUNTIES,CORN,27135000
MINNESOTA,SOUTHWEST,ROCK,CORN,27082000
MINNESOTA,WEST CENTRAL,TRAVERSE,CORN,27010000
SOUTH DAKOTA,EAST CENTRAL,KINGSBURY,CORN,26896000
NEBRASKA,EAST,SEWARD,CORN,26780000
NEBRASKA,SOUTHWEST,CHASE,CORN,26747000
IOWA,NORTHEAST,BREMER,CORN,26742000
MISSOURI,CENTRAL,SALINE,CORN,26640000
NORTH DAKOTA,SOUTHEAST,SARGENT,CORN,26632000
NEBRASKA,NORTHEAST,PIERCE,CORN,26556000
SOUTH DAKOTA,CENTRAL,BEADLE,CORN,26461000
MISSOURI,NORTHWEST,OTHER (COMBINED) COUNTIES,CORN,26356000
INDIANA,NORTHWEST,WHITE,CORN,26300000
MINNESOTA,WEST CENTRAL,GRANT,CORN,26191000
IOWA,NORTHEAST,HOWARD,CORN,26027000
TEXAS,NORTHERN HIGH PLAINS,SHERMAN,CORN,26019000
IOWA,SOUTHWEST,CASS,CORN,25962000
NEBRASKA,EAST,DODGE,CORN,25784000
ILLINOIS,CENTRAL,MASON,CORN,25780000
KANSAS,SOUTH CENTRAL,OTHER (COMBINED) COUNTIES,CORN,25651500
NEBRASKA,SOUTHEAST,GAGE,CORN,25632000
WISCONSIN,SOUTHWEST,LAFAYETTE,CORN,25151000
MINNESOTA,SOUTH CENTRAL,NICOLLET,CORN,25127000
MINNESOTA,SOUTHEAST,DODGE,CORN,25033000
NEBRASKA,NORTHEAST,WAYNE,CORN,25030000
INDIANA,NORTHEAST,OTHER (COMBINED) COUNTIES,CORN,25000000
NEBRASKA,SOUTHEAST,SALINE,CORN,24866000
IOWA,NORTHWEST,OSCEOLA,CORN,24811000
SOUTH DAKOTA,NORTHEAST,CLARK,CORN,24650000
KENTUCKY,MIDWESTERN,OTHER (COMBINED) COUNTIES,CORN,24609000
MINNESOTA,SOUTH CENTRAL,WATONWAN,CORN,24570000
MINNESOTA,NORTHWEST,CLAY,CORN,24536000
INDIANA,NORTHWEST,BENTON,CORN,24500000
ILLINOIS,EAST SOUTHEAST,DOUGLAS,CORN,24449000
MISSOURI,NORTHWEST,ATCHISON,CORN,24406000
IOWA,SOUTHEAST,KEOKUK,CORN,24363000
IOWA,NORTHWEST,EMMET,CORN,24259000
IOWA,SOUTHEAST,WASHINGTON,CORN,24238000
NEBRASKA,NORTHEAST,KNOX,CORN,24167000
MINNESOTA,SOUTH CENTRAL,WASECA,CORN,24062000
ILLINOIS,WEST,FULTON,CORN,23748000
SOUTH DAKOTA,SOUTHEAST,TURNER,CORN,23688000
MINNESOTA,SOUTH CENTRAL,STEELE,CORN,23199000
NEBRASKA,EAST,CASS,CORN,23133000
IOWA,WEST CENTRAL,AUDUBON,CORN,23078000
ILLINOIS,CENTRAL,PEORIA,CORN,22811000
NEBRASKA,EAST,POLK,CORN,22775000
IOWA,NORTH CENTRAL,WORTH,CORN,22751000
SOUTH DAKOTA,EAST CENTRAL,LAKE,CORN,22741000
MINNESOTA,SOUTHEAST,OLMSTED,CORN,22739000
ILLINOIS,CENTRAL,DE WITT,CORN,22716000
SOUTH DAKOTA,SOUTHEAST,UNION,CORN,22639000
SOUTH DAKOTA,SOUTHEAST,LINCOLN,CORN,22636000
MINNESOTA,SOUTHWEST,LINCOLN,CORN,22623000
IOWA,EAST CENTRAL,SCOTT,CORN,22567000
MICHIGAN,SOUTH CENTRAL,OTHER (COMBINED) COUNTIES,CORN,22530000
NEBRASKA,NORTHEAST,BURT,CORN,22483000
NEBRASKA,EAST,LANCASTER,CORN,22393000
SOUTH DAKOTA,NORTHEAST,HAMLIN,CORN,22192000
ILLINOIS,NORTHEAST,GRUNDY,CORN,22088000
WISCONSIN,SOUTH CENTRAL,DODGE,CORN,22058000
IOWA,EAST CENTRAL,JACKSON,CORN,22050000
NEBRASKA,SOUTHEAST,OTOE,CORN,22046000
ILLINOIS,CENTRAL,STARK,CORN,21938000
WISCONSIN,SOUTH CENTRAL,COLUMBIA,CORN,21934000
MINNESOTA,CENTRAL,MEEKER,CORN,21885000
ILLINOIS,CENTRAL,MARSHALL,CORN,21796000
NORTH DAKOTA,SOUTHEAST,RANSOM,CORN,21786000
MISSOURI,NORTHWEST,NODAWAY,CORN,21773000
IOWA,SOUTHWEST,PAGE,CORN,21704000
INDIANA,NORTHWEST,NEWTON,CORN,21700000
IOWA,SOUTHWEST,ADAIR,CORN,21659000
IOWA,WEST CENTRAL,GUTHRIE,CORN,21646000
MINNESOTA,WEST CENTRAL,WILKIN,CORN,21568000
MINNESOTA,WEST CENTRAL,POPE,CORN,21535000
KANSAS,SOUTHEAST,OTHER (COMBINED) COUNTIES,CORN,21525300
SOUTH DAKOTA,EAST CENTRAL,MCCOOK,CORN,21499000
IOWA,SOUTHWEST,FREMONT,CORN,21482000
SOUTH DAKOTA,SOUTHEAST,HUTCHINSON,CORN,21457000
ILLINOIS,WEST SOUTHWEST,GREENE,CORN,21419000
MINNESOTA,CENTRAL,MCLEOD,CORN,21239000
NEBRASKA,NORTHEAST,DIXON,CORN,21133000
NORTH DAKOTA,EAST CENTRAL,TRAILL,CORN,20838000
TEXAS,NORTHERN HIGH PLAINS,DALLAM,CORN,20810000
INDIANA,SOUTHWEST,KNOX,CORN,20700000
NEBRASKA,SOUTHEAST,NUCKOLLS,CORN,20674000
MINNESOTA,SOUTHWEST,PIPESTONE,CORN,20673000
KANSAS,NORTHEAST,BROWN,CORN,20664000
NEBRASKA,EAST,MERRICK,CORN,20462000
ILLINOIS,WEST,HENDERSON,CORN,20328000
KANSAS,SOUTHWEST,STEVENS,CORN,20309000
INDIANA,CENTRAL,RUSH,CORN,20300000
ILLINOIS,WEST SOUTHWEST,CASS,CORN,20206000
INDIANA,CENTRAL,CLINTON,CORN,20200000
NEBRASKA,EAST,COLFAX,CORN,20043000
IOWA,EAST CENTRAL,JOHNSON,CORN,20013000
KANSAS,NORTHWEST,SHERMAN,CORN,19664000
OHIO,WEST CENTRAL,DARKE,CORN,19500000
ILLINOIS,NORTHWEST,JO DAVIESS,CORN,19485000
SOUTH DAKOTA,NORTHEAST,DAY,CORN,19473000
WISCONSIN,SOUTH CENTRAL,GREEN,CORN,19403000
SOUTH DAKOTA,NORTHEAST,MARSHALL,CORN,19381000
NORTH DAKOTA,NORTHEAST,GRAND FORKS,CORN,19204000
SOUTH DAKOTA,CENTRAL,HAND,CORN,19135000
ILLINOIS,EAST SOUTHEAST,FAYETTE,CORN,18843000
MINNESOTA,SOUTH CENTRAL,LE SUEUR,CORN,18820000
ILLINOIS,NORTHEAST,MCHENRY,CORN,18737000
MISSOURI,NORTHWEST,HOLT,CORN,18724000
KANSAS,NORTH CENTRAL,OTHER (COMBINED) COUNTIES,CORN,18700000
ILLINOIS,WEST SOUTHWEST,MADISON,CORN,18657000
NEBRASKA,CENTRAL,HOWARD,CORN,18614000
ILLINOIS,EAST SOUTHEAST,MOULTRIE,CORN,18603000
IOWA,SOUTHWEST,MILLS,CORN,18538000
IOWA,EAST CENTRAL,MUSCATINE,CORN,18435000
KANSAS,NORTHEAST,DONIPHAN,CORN,18388000
NEBRASKA,NORTHEAST,STANTON,CORN,18294000
NEBRASKA,SOUTHEAST,RICHARDSON,CORN,18270000
NEBRASKA,NORTHEAST,THURSTON,CORN,18231000
NEBRASKA,SOUTH,FURNAS,CORN,18171000
NEBRASKA,SOUTH,HARLAN,CORN,18160000
INDIANA,CENTRAL,BOONE,CORN,18100000
NEBRASKA,SOUTHEAST,JEFFERSON,CORN,18028000
NORTH DAKOTA,SOUTH CENTRAL,EMMONS,CORN,18025000
WISCONSIN,SOUTHEAST,WALWORTH,CORN,18021000
IOWA,SOUTHWEST,MONTGOMERY,CORN,17937000
MINNESOTA,WEST CENTRAL,BIG STONE,CORN,17872000
KANSAS,NORTHEAST,NEMAHA,CORN,17829000
MINNESOTA,NORTHWEST,NORMAN,CORN,17736000
MISSOURI,NORTHEAST,AUDRAIN,CORN,17729000
KANSAS,NORTHWEST,SHERIDAN,CORN,17671000
NEBRASKA,SOUTHWEST,KEITH,CORN,17659000
NEBRASKA,SOUTH,FRANKLIN,CORN,17627000
INDIANA,NORTHWEST,LA PORTE,CORN,17600000
MISSOURI,CENTRAL,OTHER (COMBINED) COUNTIES,CORN,17535000
MINNESOTA,SOUTHEAST,DAKOTA,CORN,17454000
MISSOURI,NORTHEAST,OTHER (COMBINED) COUNTIES,CORN,17265000
ILLINOIS,NORTHEAST,OTHER (COMBINED) COUNTIES,CORN,17249000
NEBRASKA,SOUTH,GOSPER,CORN,17183000
ILLINOIS,CENTRAL,MENARD,CORN,17062000
NEBRASKA,SOUTHWEST,RED WILLOW,CORN,17050000
IOWA,CENTRAL,POLK,CORN,17002000
SOUTH DAKOTA,NORTHEAST,DEUEL,CORN,16890000
MINNESOTA,SOUTHEAST,WABASHA,CORN,16858000
IOWA,SOUTHEAST,LOUISA,CORN,16754000
IOWA,NORTHWEST,DICKINSON,CORN,16730000
IOWA,SOUTHEAST,HENRY,CORN,16576000
KANSAS,NORTHEAST,MARSHALL,CORN,16435000
NEBRASKA,EAST,WASHINGTON,CORN,16418000
MICHIGAN,SOUTHEAST,LENAWEE,CORN,16400000
OHIO,CENTRAL,MADISON,CORN,16300000
SOUTH DAKOTA,NORTHEAST,GRANT,CORN,16282000
NEBRASKA,SOUTHWEST,FRONTIER,CORN,16271000
WISCONSIN,EAST CENTRAL,FOND DU LAC,CORN,16187000
WISCONSIN,SOUTH CENTRAL,JEFFERSON,CORN,16073000
MINNESOTA,SOUTH CENTRAL,RICE,CORN,16028000
ILLINOIS,NORTHEAST,KENDALL,CORN,15984000
TEXAS,NORTHERN HIGH PLAINS,MOORE,CORN,15925000
MISSOURI,NORTH CENTRAL,CARROLL,CORN,15863000
SOUTH DAKOTA,SOUTHEAST,CHARLES MIX,CORN,15812000
IOWA,SOUTH CENTRAL,MARION,CORN,15738000
IOWA,NORTHEAST,ALLAMAKEE,CORN,15728000
NEBRASKA,NORTHWEST,OTHER (COMBINED) COUNTIES,CORN,15664000
NORTH DAKOTA,EAST CENTRAL,STEELE,CORN,15634000
INDIANA,SOUTHWEST,GIBSON,CORN,15600000
ILLINOIS,NORTHWEST,WINNEBAGO,CORN,15533000
MICHIGAN,SOUTHWEST,OTHER (COMBINED) COUNTIES,CORN,15500000
OHIO,CENTRAL,PICKAWAY,CORN,15500000
INDIANA,NORTHWEST,PULASKI,CORN,15400000
ILLINOIS,NORTHEAST,KANE,CORN,15347000
KANSAS,SOUTHWEST,GRAY,CORN,15331000
SOUTH DAKOTA,SOUTHEAST,YANKTON,CORN,15233000
OHIO,CENTRAL,FAYETTE,CORN,15200000
KENTUCKY,MIDWESTERN,CHRISTIAN,CORN,15166000
INDIANA,CENTRAL,MADISON,CORN,15100000
INDIANA,CENTRAL,SHELBY,CORN,15100000
ILLINOIS,SOUTHWEST,ST CLAIR,CORN,15078000
ILLINOIS,EAST SOUTHEAST,JASPER,CORN,15026000
WISCONSIN,WEST CENTRAL,ST CROIX,CORN,14992000
WISCONSIN,WEST CENTRAL,PIERCE,CORN,14967000
SOUTH DAKOTA,NORTHEAST,CODINGTON,CORN,14851000
ILLINOIS,WEST SOUTHWEST,OTHER (COMBINED) COUNTIES,CORN,14754000
IOWA,SOUTHEAST,LEE,CORN,14750000
KANSAS,NORTH CENTRAL,REPUBLIC,CORN,14709000
INDIANA,SOUTHWEST,DAVIESS,CORN,14700000
IOWA,SOUTHEAST,DES MOINES,CORN,14700000
NEBRASKA,CENTRAL,SHERMAN,CORN,14683000
OHIO,NORTHWEST,WOOD,CORN,14600000
NEBRASKA,EAST,NANCE,CORN,14581000
SOUTH DAKOTA,SOUTHEAST,CLAY,CORN,14552000
MINNESOTA,CENTRAL,MORRISON,CORN,14510000
MICHIGAN,EAST CENTRAL,SAGINAW,CORN,14500000
NEBRASKA,SOUTH,WEBSTER,CORN,14448000
MISSOURI,SOUTHEAST,OTHER (COMBINED) COUNTIES,CORN,14359000
WISCONSIN,WEST CENTRAL,DUNN,CORN,14336000
IOWA,SOUTHEAST,JEFFERSON,CORN,14240000
MICHIGAN,EAST CENTRAL,SANILAC,CORN,14200000
MINNESOTA,NORTHWEST,POLK,CORN,14181000
ILLINOIS,SOUTHWEST,CLINTON,CORN,14141000
SOUTH DAKOTA,NORTH CENTRAL,FAULK,CORN,14099000
KANSAS,SOUTHWEST,SEWARD,CORN,14059000
OHIO,WEST CENTRAL,HARDIN,CORN,14000000
OHIO,WEST CENTRAL,CHAMPAIGN,CORN,13900000
OHIO,WEST CENTRAL,MERCER,CORN,13900000
ILLINOIS,SOUTHWEST,WASHINGTON,CORN,13790000
MINNESOTA,SOUTHEAST,WINONA,CORN,13695000
IOWA,SOUTH CENTRAL,MADISON,CORN,13688000
INDIANA,CENTRAL,OTHER (COMBINED) COUNTIES,CORN,13670000
NEBRASKA,CENTRAL,VALLEY,CORN,13656000
INDIANA,CENTRAL,DECATUR,CORN,13600000
MINNESOTA,CENTRAL,WRIGHT,CORN,13531000
WISCONSIN,EAST CENTRAL,OUTAGAMIE,CORN,13519000
ILLINOIS,EAST SOUTHEAST,EFFINGHAM,CORN,13513000
OHIO,NORTHWEST,FULTON,CORN,13500000
OHIO,SOUTHWEST,PREBLE,CORN,13500000
INDIANA,CENTRAL,TIPTON,CORN,13500000
WISCONSIN,SOUTHWEST,SAUK,CORN,13420000
WISCONSIN,WEST CENTRAL,TREMPEALEAU,CORN,13399000
ILLINOIS,NORTHEAST,BOONE,CORN,13369000
ILLINOIS,WEST,SCHUYLER,CORN,13351000
NEBRASKA,CENTRAL,GREELEY,CORN,13332000
OHIO,NORTH CENTRAL,SENECA,CORN,13300000
IOWA,SOUTHWEST,ADAMS,CORN,13269000
NEBRASKA,NORTHWEST,SCOTTS BLUFF,CORN,13264000
MICHIGAN,EAST CENTRAL,TUSCOLA,CORN,13200000
NEBRASKA,NORTH,OTHER (COMBINED) COUNTIES,CORN,13124500
OHIO,NORTHWEST,HENRY,CORN,13100000
ILLINOIS,SOUTHEAST,OTHER (COMBINED) COUNTIES,CORN,13089000
KENTUCKY,MIDWESTERN,UNION,CORN,13070000
IOWA,SOUTHWEST,TAYLOR,CORN,12982000
NEBRASKA,SOUTHEAST,NEMAHA,CORN,12946000
NORTH DAKOTA,CENTRAL,WELLS,CORN,12905000
OHIO,NORTH CENTRAL,CRAWFORD,CORN,12900000
MICHIGAN,EAST CENTRAL,HURON,CORN,12800000
SOUTH DAKOTA,CENTRAL,SULLY,CORN,12738000
ILLINOIS,NORTHWEST,ROCK ISLAND,CORN,12586000
OHIO,SOUTHWEST,CLINTON,CORN,12500000
INDIANA,SOUTHWEST,POSEY,CORN,12500000
INDIANA,CENTRAL,HENDRICKS,CORN,12300000
WISCONSIN,NORTHWEST,CHIPPEWA,CORN,12290000
IOWA,SOUTH CENTRAL,WARREN,CORN,12239000
NEBRASKA,SOUTHWEST,HAYES,CORN,12220000
MICHIGAN,SOUTHWEST,CASS,CORN,12200000
INDIANA,CENTRAL,HOWARD,CORN,12100000
MISSOURI,SOUTHEAST,STODDARD,CORN,12032000
INDIANA,NORTHEAST,ALLEN,CORN,12000000
NEBRASKA,NORTHWEST,MORRILL,CORN,11996000
MICHIGAN,CENTRAL,GRATIOT,CORN,11850000
IOWA,SOUTHEAST,WAPELLO,CORN,11797000
MISSOURI,SOUTHEAST,NEW MADRID,CORN,11764000
MICHIGAN,SOUTH CENTRAL,IONIA,CORN,11700000
MINNESOTA,CENTRAL,CARVER,CORN,11631000
ILLINOIS,SOUTHEAST,GALLATIN,CORN,11605000
OHIO,NORTH CENTRAL,WYANDOT,CORN,11600000
OHIO,NORTHWEST,HANCOCK,CORN,11600000
KENTUCKY,PURCHASE,GRAVES,CORN,11575000
SOUTH DAKOTA,SOUTHEAST,BON HOMME,CORN,11511000
TEXAS,NORTHERN HIGH PLAINS,HANSFORD,CORN,11481500
TEXAS,NORTHERN HIGH PLAINS,HALE,CORN,11437000
WISCONSIN,SOUTHWEST,IOWA,CORN,11435000
TEXAS,UPPER COAST,JACKSON,CORN,11412000
MICHIGAN,SOUTH CENTRAL,HILLSDALE,CORN,11400000
NEBRASKA,SOUTHWEST,DUNDY,CORN,11383000
ILLINOIS,WEST SOUTHWEST,JERSEY,CORN,11378000
SOUTH DAKOTA,EAST CENTRAL,MINER,CORN,11332000
ILLINOIS,SOUTHEAST,WHITE,CORN,11300000
NEBRASKA,NORTHEAST,DAKOTA,CORN,11272000
SOUTH DAKOTA,CENTRAL,OTHER (COMBINED) COUNTIES,CORN,11262000
MINNESOTA,WEST CENTRAL,DOUGLAS,CORN,11244000
MISSOURI,NORTHEAST,MARION,CORN,11212000
OHIO,NORTHWEST,PUTNAM,CORN,11200000
KANSAS,NORTHWEST,DECATUR,CORN,11193000
ILLINOIS,EAST SOUTHEAST,CUMBERLAND,CORN,11188000
NORTH DAKOTA,CENTRAL,FOSTER,CORN,11060000
INDIANA,CENTRAL,HANCOCK,CORN,11000000
WISCONSIN,NORTHWEST,BARRON,CORN,10966000
SOUTH DAKOTA,EAST CENTRAL,HANSON,CORN,10964000
KANSAS,SOUTH CENTRAL,PRATT,CORN,10918000
MICHIGAN,SOUTH CENTRAL,CALHOUN,CORN,10900000
KENTUCKY,MIDWESTERN,DAVIESS,CORN,10898000
KANSAS,NORTHWEST,CHEYENNE,CORN,10815000
OHIO,SOUTHWEST,GREENE,CORN,10800000
TEXAS,UPPER COAST,WHARTON,CORN,10780000
MISSOURI,NORTHEAST,RALLS,CORN,10638000
ILLINOIS,WEST SOUTHWEST,SCOTT,CORN,10632000
KANSAS,NORTHWEST,RAWLINS,CORN,10628000
OHIO,NORTHWEST,VAN WERT,CORN,10600000
OHIO,WEST CENTRAL,LOGAN,CORN,10600000
MISSOURI,NORTHEAST,LEWIS,CORN,10582000
