"STATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","EVAP","HDSD","HTDD","MN01","MX01","PRCP","SNOW","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDMV","WSF1","WSF2","WSF5","WSFG"
"USC00114833","2006-02",,,,"4","3","0","0",,,,,,,"0","0.0","0.16",,,,,,,"0.43","0.0",,,,,,,,,,,,,
"USC00114833","2006-03",,,,"12","6","0","0",,,,,,,"0","0.0","1.32",,,,,,,"3.05","0.0",,,,,,,,,,,,,
"USC00114833","2006-04",,,,"9","6","0","0",,,,,,,"0","0.0","0.85",,,,,,,"2.63","0.0",,,,,,,,,,,,,
"USC00114833","2006-05",,,,"10","8","0","0",,,,,,,"0","0.0","0.59",,,,,,,"2.17","0.0",,,,,,,,,,,,,
"USC00114833","2006-06",,,,"10","5","0","0",,,,,,,"0","0.0","1.24",,,,,,,"3.23","0.0",,,,,,,,,,,,,
"USC00114833","2006-07",,,,"11","6","0","0",,,,,,,"0","0.0","1.00",,,,,,,"3.34","0.0",,,,,,,,,,,,,
"USC00114833","2006-08",,,,"9","2","0","0",,,,,,,"0","0.0","1.13",,,,,,,"1.59","0.0",,,,,,,,,,,,,
"USC00114833","2006-09",,,,"5","3","0","0",,,,,,,"0","0.0","1.41",,,,,,,"1.83","0.0",,,,,,,,,,,,,
"USC00114833","2006-10",,,,"7","5","0","0",,,,,,,"0","0.0","1.64",,,,,,,"3.02","0.0",,,,,,,,,,,,,
"USC00114833","2006-11",,,,"9","4","0","0",,,,,,,"0","0.0","1.30",,,,,,,"2.77","0.0",,,,,,,,,,,,,
"USC00114833","2006-12",,,,"9","4","0","0",,,,,,,"0","0.0","1.01",,,,,,,"2.78","0.0",,,,,,,,,,,,,
"USC00114833","2007-01",,,,"11","6","2","2",,,,,,,"3","3.0","1.00",,,,,,,"3.67","4.0",,,,,,,,,,,,,
"USC00114833","2007-02",,,,"3","2","0","0",,,,,,,"0","0.0","1.01",,,,,,,"2.03","0.0",,,,,,,,,,,,,
"USC00114833","2007-03",,,,"10","7","0","0",,,,,,,"0","0.0","0.43",,,,,,,"2.13","0.0",,,,,,,,,,,,,
"USC00114833","2007-04",,,,"9","7","0","0",,,,,,,"0","0.0","0.67",,,,,,,"2.89","0.0",,,,,,,,,,,,,
"USC00114833","2007-05",,,,"8","6","0","0",,,,,,,"0","0.0","0.67",,,,,,,"2.75","0.0",,,,,,,,,,,,,
"USC00114833","2007-06",,,,"12","10","0","0",,,,,,,"0","0.0","1.40",,,,,,,"4.72","0.0",,,,,,,,,,,,,
"USC00114833","2007-07",,,,"7","3","0","0",,,,,,,"0","0.0","0.83",,,,,,,"1.41","0.0",,,,,,,,,,,,,
"USC00114833","2007-08",,,,"10","7","0","0",,,,,,,"0","0.0","0.37",,,,,,,"1.78","0.0",,,,,,,,,,,,,
"USC00114833","2007-09",,,,"6","1","0","0",,,,,,,"0","0.0","0.13",,,,,,,"0.31","0.0",,,,,,,,,,,,,
"USC00114833","2007-10",,,,"9","5","0","0",,,,,,,"0","0.0","0.86",,,,,,,"2.42","0.0",,,,,,,,,,,,,
"USC00114833","2007-11",,,,"5","4","0","0",,,,,,,"0","0.0","0.87",,,,,,,"2.31","0.0",,,,,,,,,,,,,
"USC00114833","2007-12",,,,"14","10","0","0",,,,,,,"0","0.0","0.67",,,,,,,"3.08","0.0",,,,,,,,,,,,,
"USC00114833","2008-01",,,,"8","2",,,,,,,,,,,"2.12",,,,,,,"2.55",,,,,,,,,,,,,,
"USC00114833","2008-02",,,,"17","11","0","0",,,,,,,"0","0.0","1.30",,,,,,,"7.78","0.0",,,,,,,,,,,,,
"USC00114833","2008-03",,,,"12","7","1","1",,,,,,,"4","4.5","0.86",,,,,,,"3.19","4.5",,,,,,,,,,,,,
"USC00114833","2008-04",,,,"12","6","0","0",,,,,,,"0","0.0","0.77",,,,,,,"3.59","0.0",,,,,,,,,,,,,
"USC00114833","2008-05",,,,"12","9","0","0",,,,,,,"0","0.0","1.17",,,,,,,"4.56","0.0",,,,,,,,,,,,,
"USC00114833","2008-06",,,,"13","11","0","0",,,,,,,"0","0.0","1.20",,,,,,,"5.46","0.0",,,,,,,,,,,,,
"USC00114833","2008-07",,,,"12","10","0","0",,,,,,,"0","0.0","1.67",,,,,,,"5.13","0.0",,,,,,,,,,,,,
"USC00114833","2008-08",,,,"7","2","0","0",,,,,,,"0","0.0","0.55",,,,,,,"1.11","0.0",,,,,,,,,,,,,
"USC00114833","2008-09",,,,"10","8","0","0",,,,,,,"0","0.0","2.00",,,,,,,"6.96","0.0",,,,,,,,,,,,,
"USC00114833","2008-10",,,,"4","3","0","0",,,,,,,"0","0.0","1.05",,,,,,,"1.74","0.0",,,,,,,,,,,,,
"USC00114833","2008-11",,,,"7","5","0","0",,,,,,,"0","0.0","0.45",,,,,,,"1.45","0.0",,,,,,,,,,,,,
"USC00114833","2008-12",,,,"9","7","0","0",,,,,,,"0","0.0","1.64",,,,,,,"4.29","0.0",,,,,,,,,,,,,
"USC00114833","2009-01",,,,"6","3",,"2",,,,,,,,"1.8","0.17",,,,,,,"0.47","3.8",,,,,,,,,,,,,
"USC00114833","2009-02",,,,"5","3","0","0",,,,,,,"0","0.0","0.75",,,,,,,"1.60","0.0",,,,,,,,,,,,,
"USC00114833","2009-03",,,,"11","8","0","0",,,,,,,"0","0.0","0.90",,,,,,,"2.89","0.0",,,,,,,,,,,,,
"USC00114833","2009-04",,,,"9","8","0","0",,,,,,,"0","0.0","1.32",,,,,,,"5.59","0.0",,,,,,,,,,,,,
"USC00114833","2009-05",,,,"14","12","0","0",,,,,,,"0","0.0","1.50",,,,,,,"5.75","0.0",,,,,,,,,,,,,
"USC00114833","2009-06",,,,"11","5","0","0",,,,,,,"0","0.0","1.10",,,,,,,"3.96","0.0",,,,,,,,,,,,,
"USC00114833","2009-07",,,,"6","5","0","0",,,,,,,"0","0.0","1.14",,,,,,,"3.65","0.0",,,,,,,,,,,,,
"USC00114833","2009-08",,,,"7","4","0","0",,,,,,,"0","0.0","0.96",,,,,,,"1.99","0.0",,,,,,,,,,,,,
"USC00114833","2009-09",,,,"9","3","0","0",,,,,,,"0","0.0","1.42",,,,,,,"3.08","0.0",,,,,,,,,,,,,
"USC00114833","2009-10",,,,"20","12","0","0",,,,,,,"0","0.0","2.15",,,,,,,"9.25","0.0",,,,,,,,,,,,,
"USC00114833","2009-11",,,,"9","5","0","0",,,,,,,"0","0.0","1.43",,,,,,,"4.29","0.0",,,,,,,,,,,,,
"USC00114833","2009-12",,,,"8","4","1","0",,,,,,,"2","0.0","1.52",,,,,,,"2.89","0.0",,,,,,,,,,,,,
"USC00114833","2010-01",,,,"2","2","0","0",,,,,,,"0","0.0","0.54",,,,,,,"0.78","0.0",,,,,,,,,,,,,
"USC00114833","2010-02",,,,"7","4","3","1",,,,,,,"2","2.0","0.72",,,,,,,"1.76","2.7",,,,,,,,,,,,,
"USC00114833","2010-03",,,,"11","7","0","0",,,,,,,"0","0.0","0.53",,,,,,,"2.48","0.0",,,,,,,,,,,,,
"USC00114833","2010-04",,,,"12","11","0","0",,,,,,,"0","0.0","0.99",,,,,,,"3.57","0.0",,,,,,,,,,,,,
"USC00114833","2010-05",,,,"14","9","0","0",,,,,,,"0","0.0","3.01",,,,,,,"8.48","0.0",,,,,,,,,,,,,
"USC00114833","2010-06",,,,"15","12","0","0",,,,,,,"0","0.0","1.26",,,,,,,"8.26","0.0",,,,,,,,,,,,,
"USC00114833","2010-07",,,,,,"0","0",,,,,,,"0","0.0",,,,,,,,,"0.0",,,,,,,,,,,,,
"USC00114833","2010-08",,,,"4","3","0","0",,,,,,,"0","0.0","1.79",,,,,,,"2.65","0.0",,,,,,,,,,,,,
"USC00114833","2010-09",,,,"12","10","0","0",,,,,,,"0","0.0","1.91",,,,,,,"6.35","0.0",,,,,,,,,,,,,
"USC00114833","2010-10",,,,"6","3","0","0",,,,,,,"0","0.0","0.66",,,,,,,"1.49","0.0",,,,,,,,,,,,,
"USC00114833","2010-11",,,,"7","4","0","0",,,,,,,"0","0.0","0.82",,,,,,,"2.30","0.0",,,,,,,,,,,,,
"USC00114833","2010-12",,,,"3","2","1","1",,,,,,,"4","4.0","0.40",,,,,,,"0.57","4.0",,,,,,,,,,,,,
"USC00114833","2011-01",,,,"5","0",,,,,,,,,,,"0.09",,,,,,,"0.22",,,,,,,,,,,,,,
"USC00114833","2011-02",,,,"11","6",,,,,,,,,,,"0.65",,,,,,,"1.94",,,,,,,,,,,,,,
"USC00114833","2011-03",,,,"6","3",,,,,,,,,,,"0.89",,,,,,,"1.43",,,,,,,,,,,,,,
"USC00114833","2011-04",,,,"10","6",,,,,,,,,,,"1.27",,,,,,,"5.00",,,,,,,,,,,,,,
"USC00114833","2011-05",,,,"10","9",,,,,,,,,,,"0.66",,,,,,,"2.99",,,,,,,,,,,,,,
"USC00114833","2011-06",,,,"15","6",,,,,,,,,,,"0.88",,,,,,,"2.99",,,,,,,,,,,,,,
"USC00114833","2011-07",,,,"4","3",,,,,,,,,,,"0.96",,,,,,,"1.72",,,,,,,,,,,,,,
"USC00114833","2011-08",,,,"3","1",,,,,,,,,,,"0.20",,,,,,,"0.25",,,,,,,,,,,,,,
"USC00114833","2011-09",,,,"8","4",,,,,,,,,,,"0.62",,,,,,,"1.62",,,,,,,,,,,,,,
"USC00114833","2011-10",,,,"7","2",,,,,,,,,,,"0.59",,,,,,,"1.29",,,,,,,,,,,,,,
"USC00114833","2011-11",,,,"9","7",,,,,,,,,,,"0.97",,,,,,,"3.26",,,,,,,,,,,,,,
"USC00114833","2011-12",,,,"8","5",,,,,,,,,,,"0.90",,,,,,,"2.65",,,,,,,,,,,,,,
"USC00114833","2012-01",,,,"7","4",,,,,,,,,,,"0.94",,,,,,,"1.46",,,,,,,,,,,,,,
"USC00114833","2012-02",,,,"9","2",,,,,,,,,,,"0.24",,,,,,,"0.74",,,,,,,,,,,,,,
"USC00114833","2012-03",,,,"7","5",,,,,,,,,,,"0.24",,,,,,,"0.94",,,,,,,,,,,,,,
"USC00114833","2012-04",,,,"9","7",,,,,,,,,,,"1.51",,,,,,,"4.33",,,,,,,,,,,,,,
"USC00114833","2012-05",,,,"7","4",,,,,,,,,,,"0.43",,,,,,,"1.61",,,,,,,,,,,,,,
"USC00114833","2012-06",,,,"6","3",,,,,,,,,,,"0.54",,,,,,,"1.33",,,,,,,,,,,,,,
"USC00114833","2012-07",,,,"2","0",,,,,,,,,,,"0.03",,,,,,,"0.05",,,,,,,,,,,,,,
"USC00114833","2012-08",,,,"6","3",,,,,,,,,,,"0.53",,,,,,,"1.21",,,,,,,,,,,,,,
"USC00114833","2012-09",,,,"9","6",,,,,,,,,,,"2.54",,,,,,,"4.28",,,,,,,,,,,,,,
"USC00114833","2012-10",,,,"12","5",,,,,,,,,,,"1.47",,,,,,,"2.87",,,,,,,,,,,,,,
"USC00114833","2012-11",,,,"6","3",,,,,,,,,,,"0.93",,,,,,,"1.26",,,,,,,,,,,,,,
"USC00114833","2012-12",,,,"10","4",,,,,,,,,,,"0.56",,,,,,,"1.75",,,,,,,,,,,,,,
"USC00114833","2013-01",,,,"6","5",,,,,,,,,,,"1.20",,,,,,,"2.21",,,,,,,,,,,,,,
"USC00114833","2013-02",,,,"10","5",,,,,,,,,,,"0.58",,,,,,,"1.74",,,,,,,,,,,,,,
"USC00114833","2013-03",,,,"8","2",,,,,,,,,,,"0.63",,,,,,,"0.98",,,,,,,,,,,,,,
"USC00114833","2013-04",,,,"11","7",,,,,,,,,,,"1.38",,,,,,,"4.27",,,,,,,,,,,,,,
"USC00114833","2013-05",,,,"12","8",,,,,,,,,,,"1.48",,,,,,,"6.31",,,,,,,,,,,,,,
"USC00114833","2013-06",,,,"11","4",,,,,,,,,,,"1.63",,,,,,,"3.17",,,,,,,,,,,,,,
"USC00114833","2013-07",,,,"7","4",,,,,,,,,,,"1.01",,,,,,,"2.65",,,,,,,,,,,,,,
"USC00114833","2013-08",,,,"2","1",,,,,,,,,,,"0.10",,,,,,,"0.18",,,,,,,,,,,,,,
"USC00114833","2013-09",,,,"8","4",,,,,,,,,,,"0.32",,,,,,,"0.84",,,,,,,,,,,,,,
"USC00114833","2013-10",,,,"11","6",,,,,,,,,,,"1.00",,,,,,,"2.15",,,,,,,,,,,,,,
"USC00114833","2013-11",,,,"8","4",,,,,,,,,,,"0.74",,,,,,,"1.80",,,,,,,,,,,,,,
"USC00114833","2013-12",,,,"5","3",,,,,,,,,,,"0.43",,,,,,,"0.94",,,,,,,,,,,,,,
"USC00114833","2014-01",,,,"4","1",,,,,,,,,,,"0.58",,,,,,,"0.66",,,,,,,,,,,,,,
"USC00114833","2014-02",,,,"11","8",,,,,,,,,,,"0.34",,,,,,,"2.02",,,,,,,,,,,,,,
"USC00114833","2014-03",,,,"7","3",,,,,,,,,,,"0.71",,,,,,,"1.51",,,,,,,,,,,,,,
"USC00114833","2014-04",,,,"10","6",,,,,,,,,,,"1.21",,,,,,,"3.67",,,,,,,,,,,,,,
"USC00114833","2014-05",,,,"7","4",,,,,,,,,,,"0.40",,,,,,,"1.17",,,,,,,,,,,,,,
"USC00114833","2014-06",,,,"12","7",,,,,,,,,,,"2.53",,,,,,,"7.57",,,,,,,,,,,,,,
"USC00114833","2014-07",,,,"5","5",,,,,,,,,,,"0.40",,,,,,,"1.43",,,,,,,,,,,,,,
"USC00114833","2014-08",,,,"13","8",,,,,,,,,,,"2.27",,,,,,,"6.33",,,,,,,,,,,,,,
"USC00114833","2014-09",,,,"7","4",,,,,,,,,,,"1.35",,,,,,,"3.28",,,,,,,,,,,,,,
"USC00114833","2014-10",,,,"12","6",,,,,,,,,,,"1.37",,,,,,,"3.65",,,,,,,,,,,,,,
"USC00114833","2014-11",,,,"6","3",,,,,,,,,,,"1.14",,,,,,,"1.70",,,,,,,,,,,,,,
"USC00114833","2014-12",,,,"9","4",,,,,,,,,,,"0.64",,,,,,,"1.60",,,,,,,,,,,,,,
"USC00114833","2015-01",,,,"7","5",,,,,,,,,,,"0.44",,,,,,,"0.94",,,,,,,,,,,,,,
"USC00114833","2015-02",,,,"3","1",,,,,,,,,,,"0.36",,,,,,,"0.43",,,,,,,,,,,,,,
"USC00114833","2015-03",,,,"7","3",,,,,,,,,,,"0.51",,,,,,,"1.20",,,,,,,,,,,,,,
"USC00114833","2015-04",,,,"8","3",,,,,,,,,,,"0.72",,,,,,,"1.51",,,,,,,,,,,,,,
"USC00114833","2015-05",,,,"13","10",,,,,,,,,,,"1.40",,,,,,,"7.03",,,,,,,,,,,,,,
"USC00114833","2015-06",,,,"14","9",,,,,,,,,,,"1.30",,,,,,,"7.27",,,,,,,,,,,,,,
"USC00114833","2015-07",,,,"10","7",,,,,,,,,,,"1.38",,,,,,,"3.30",,,,,,,,,,,,,,
"USC00114833","2015-08",,,,"6","3",,,,,,,,,,,"0.58",,,,,,,"1.26",,,,,,,,,,,,,,
"USC00114833","2015-09",,,,"6","5",,,,,,,,,,,"1.13",,,,,,,"2.80",,,,,,,,,,,,,,
"USC00114833","2015-10",,,,"5","2",,,,,,,,,,,"0.59",,,,,,,"0.93",,,,,,,,,,,,,,
"USC00114833","2015-11",,,,"12","10",,,,,,,,,,,"0.92",,,,,,,"4.50",,,,,,,,,,,,,,
"USC00114833","2015-12",,,,"12","8",,,,,,,,,,,"2.05",,,,,,,"5.91",,,,,,,,,,,,,,
"USC00114833","2016-01",,,,"3","2",,,,,,,,,,,"0.23",,,,,,,"0.42",,,,,,,,,,,,,,
"USC00114833","2016-02",,,,"4","1",,,,,,,,,,,"0.26",,,,,,,"0.45",,,,,,,,,,,,,,
"USC00114833","2016-03",,,,"12","7",,,,,,,,,,,"0.97",,,,,,,"3.08",,,,,,,,,,,,,,
"USC00114833","2016-04",,,,"8","8",,,,,,,,,,,"0.66",,,,,,,"2.60",,,,,,,,,,,,,,
"USC00114833","2016-05",,,,"10","6",,,,,,,,,,,"0.48",,,,,,,"1.67",,,,,,,,,,,,,,
"USC00114833","2016-06",,,,"6","2",,,,,,,,,,,"1.32",,,,,,,"1.74",,,,,,,,,,,,,,
"USC00114833","2016-07",,,,"12","9",,,,,,,,,,,"1.79",,,,,,,"7.12",,,,,,,,,,,,,,
"USC00114833","2016-08",,,,"6","6",,,,,,,,,,,"2.22",,,,,,,"3.27",,,,,,,,,,,,,,
"USC00114833","2016-09",,,,"6","6",,,,,,,,,,,"0.45",,,,,,,"1.77",,,,,,,,,,,,,,
"USC00114833","2016-10",,,,"8","5",,,,,,,,,,,"0.38",,,,,,,"1.47",,,,,,,,,,,,,,
"USC00114833","2016-11",,,,"7","6",,,,,,,,,,,"0.59",,,,,,,"1.97",,,,,,,,,,,,,,
"USC00114833","2016-12",,,,"5","3",,,,,,,,,,,"0.40",,,,,,,"0.85",,,,,,,,,,,,,,
"US1ILSG0012","2007-02",,,,"3","2","8","1",,,,,,,"11","2.5","0.93",,,,,,,"1.32","3.0",,,,,,,,,,,,,
"US1ILSG0012","2007-04",,,,"9","8",,"0",,,,,,,,"0.0","0.63",,,,,,,"3.32","0.0",,,,,,,,,,,,,
"US1ILSG0012","2007-05",,,,"10","5",,"0",,,,,,,,"0.0","0.53",,,,,,,"2.29","0.0",,,,,,,,,,,,,
"US1ILSG0012","2007-06",,,,"13","9",,"0",,,,,,,,"0.0","1.37",,,,,,,"4.39","0.0",,,,,,,,,,,,,
"US1ILSG0012","2007-07",,,,"6","3",,"0",,,,,,,,"0.0","1.31",,,,,,,"2.73","0.0",,,,,,,,,,,,,
"US1ILSG0012","2007-08",,,,"6","2",,"0",,,,,,,,"0.0","0.25",,,,,,,"0.70","0.0",,,,,,,,,,,,,
"US1ILSG0012","2007-09",,,,"5","1",,"0",,,,,,,,"0.0","0.18",,,,,,,"0.37","0.0",,,,,,,,,,,,,
"US1ILSG0012","2007-10",,,,"10","5",,"0",,,,,,,,"0.0","0.83",,,,,,,"2.70","0.0",,,,,,,,,,,,,
"US1ILSG0012","2007-11",,,,"5","4",,"0",,,,,,,,"0.0","1.25",,,,,,,"2.74","0.0",,,,,,,,,,,,,
"US1ILSG0012","2007-12",,,,"12","10",,"1",,,,,,,,"2.0","0.65",,,,,,,"2.50","2.0",,,,,,,,,,,,,
"US1ILSG0012","2008-01",,,,"6","2",,"0",,,,,,,,"0.0","2.40",,,,,,,"2.74","0.0",,,,,,,,,,,,,
"US1ILSG0012","2008-02",,,,"9","7","6","3",,,,,,,"11","11.0","1.69",,,,,,,"5.46","16.0",,,,,,,,,,,,,
"US1ILSG0012","2008-03",,,,"10","8",,"1",,,,,,,,"4.5","0.87",,,,,,,"3.60","4.5",,,,,,,,,,,,,
"US1ILSG0012","2008-04",,,,"13","8",,"0",,,,,,,,"0.0","0.88",,,,,,,"3.96","0.0",,,,,,,,,,,,,
"US1ILSG0012","2008-05",,,,"14","10",,"0",,,,,,,,"0.0","1.45",,,,,,,"5.62","0.0",,,,,,,,,,,,,
"US1ILSG0012","2008-06",,,,"14","9",,"0",,,,,,,,"0.0","2.09",,,,,,,"6.85","0.0",,,,,,,,,,,,,
"US1ILSG0012","2008-07",,,,"12","10",,"0",,,,,,,,"0.0","1.14",,,,,,,"5.15","0.0",,,,,,,,,,,,,
"US1ILSG0012","2008-08",,,,"5","2",,"0",,,,,,,,"0.0","1.07",,,,,,,"1.70","0.0",,,,,,,,,,,,,
"US1ILSG0012","2008-09",,,,"9","8",,"0",,,,,,,,"0.0","2.28",,,,,,,"7.73","0.0",,,,,,,,,,,,,
"US1ILSG0012","2008-10",,,,"4","3",,"0",,,,,,,,"0.0","1.03",,,,,,,"1.53","0.0",,,,,,,,,,,,,
"US1ILSG0012","2008-11",,,,"6","3",,"0",,,,,,,,"0.0","0.22",,,,,,,"0.69","0.0",,,,,,,,,,,,,
"US1ILSG0012","2008-12",,,,"10","8",,"2",,,,,,,,"1.5","1.63",,,,,,,"5.38","3.0",,,,,,,,,,,,,
"US1ILSG0012","2009-01",,,,"6","2",,"2",,,,,,,,"3.0","0.22",,,,,,,"0.57","5.4",,,,,,,,,,,,,
"US1ILSG0012","2009-02",,,,"5","3","0","0",,,,,,,"0","0.0","0.77",,,,,,,"1.74","0.0",,,,,,,,,,,,,
"US1ILSG0012","2009-03",,,,"9","9",,,,,,,,,,,"1.46",,,,,,,"3.39",,,,,,,,,,,,,,
"US1ILSG0012","2009-04",,,,"11","9",,,,,,,,,,,"1.35",,,,,,,"6.07",,,,,,,,,,,,,,
"US1ILSG0012","2009-05",,,,"10","9",,,,,,,,,,,"1.65",,,,,,,"6.23",,,,,,,,,,,,,,
"US1ILSG0012","2009-06",,,,"8","5",,,,,,,,,,,"1.51",,,,,,,"3.79",,,,,,,,,,,,,,
"US1ILSG0012","2009-07",,,,"5","5",,"0",,,,,,,,"0.0","1.20",,,,,,,"3.89","0.0",,,,,,,,,,,,,
"US1ILSG0012","2009-08",,,,"5","5",,"0",,,,,,,,"0.0","0.69",,,,,,,"2.68","0.0",,,,,,,,,,,,,
"US1ILSG0012","2009-09",,,,"6","3",,,,,,,,,,,"1.11",,,,,,,"2.07",,,,,,,,,,,,,,
"US1ILSG0012","2009-10",,,,"15","14",,,,,,,,,,,"2.15",,,,,,,"10.78",,,,,,,,,,,,,,
"US1ILSG0012","2009-11",,,,"5","5",,"0",,,,,,,,"0.0","1.64",,,,,,,"3.75","0.0",,,,,,,,,,,,,
"US1ILSG0012","2009-12",,,,"6","5",,"2",,,,,,,,"3.0","1.34",,,,,,,"3.39","4.4",,,,,,,,,,,,,
"US1ILSG0012","2010-01",,,,"5","4",,"2",,,,,,,,"4.0","0.54",,,,,,,"1.34","5.0",,,,,,,,,,,,,
"US1ILSG0012","2010-02",,,,"7","7",,"3",,,,,,,,"3.5","0.35",,,,,,,"1.50","7.0",,,,,,,,,,,,,
"US1ILSG0012","2010-03",,,,"7","6",,,,,,,,,,,"0.56",,,,,,,"2.04",,,,,,,,,,,,,,
"US1ILSG0012","2010-04",,,,"10","9",,,,,,,,,,,"1.29",,,,,,,"3.16",,,,,,,,,,,,,,
"US1ILSG0012","2010-05",,,,"13","11",,,,,,,,,,,"1.70",,,,,,,"5.91",,,,,,,,,,,,,,
"US1ILSG0012","2010-06",,,,"13","11",,,,,,,,,,,"1.45",,,,,,,"7.76",,,,,,,,,,,,,,
"US1ILSG0012","2010-07",,,,"9","6",,,,,,,,,,,"3.22",,,,,,,"4.91",,,,,,,,,,,,,,
"US1ILSG0012","2010-08",,,,"2","2",,"0",,,,,,,,"0.0","1.81",,,,,,,"2.70","0.0",,,,,,,,,,,,,
"US1ILSG0012","2010-09",,,,"9","8",,,,,,,,,,,"2.14",,,,,,,"5.74",,,,,,,,,,,,,,
"US1ILSG0012","2010-10",,,,"2","2",,"0",,,,,,,,"0.0","1.13",,,,,,,"1.34","0.0",,,,,,,,,,,,,
"US1ILSG0012","2010-11",,,,"3","2",,"0",,,,,,,,"0.0","1.04",,,,,,,"1.66","0.0",,,,,,,,,,,,,
"US1ILSG0012","2011-03",,,,"3","3",,"0",,,,,,,,"0.0","1.06",,,,,,,"1.72","0.0",,,,,,,,,,,,,
"US1ILSG0012","2011-04",,,,"8","8",,,,,,,,,,,"1.07",,,,,,,"5.88",,,,,,,,,,,,,,
"US1ILSG0012","2011-05",,,,"8","7",,,,,,,,,,,"1.10",,,,,,,"2.72",,,,,,,,,,,,,,
"US1ILSG0012","2011-06",,,,"10","8",,,,,,,,,,,"1.02",,,,,,,"4.56",,,,,,,,,,,,,,
"US1ILSG0012","2011-07",,,,"4","4",,"0",,,,,,,,"0.0","0.97",,,,,,,"1.94","0.0",,,,,,,,,,,,,
"US1ILSG0012","2011-08",,,,"2","0",,"0",,,,,,,,"0.0","0.09",,,,,,,"0.13","0.0",,,,,,,,,,,,,
"US1ILSG0012","2011-09",,,,"5","3",,,,,,,,,,,"0.51",,,,,,,"0.89",,,,,,,,,,,,,,
"US1ILSG0012","2015-04",,,,"7","4",,,,,,,,,,,"0.90",,,,,,,"2.14",,,,,,,,,,,,,,
