"STATION","DATE","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","EVAP","HDSD","HN01","HTDD","HX01","LN01","LX01","MN01","MN02","MX01","MX02","PRCP","SNOW","TAVG","TMAX","TMIN","WDMV"
"USW00054811","2006-05","62","62","12","8",,,"0","0","0","15","2","33",,,"1.14","91",,"6361",,"253",,,,,,,,"4.19",,"58.6","69.1","48.1",
"USW00054811","2006-06","155","93","10","6",,,"0","0","0","27","0","45",,,"1.20","89",,"6406",,"44",,,,,,,,"3.15",,"66.6","77.5","55.7",
"USW00054811","2006-07","408","252","10","7",,,"0","0","0","31","4","49",,,"0.97","94",,"1",,"1",,,,,,,,"2.61",,"73.1","83.0","63.2",
"USW00054811","2006-08","543","135","7","6",,,"0","0","0","30","2","49",,,"0.62","92",,"6",,"5",,,,,,,,"2.41",,"69.2","79.3","59.1",
"USW00054811","2006-09","558","15","12","7",,,"0","0","0","17","0","33",,,"1.30","83",,"182",,"177",,,,,,,,"4.13",,"59.6","70.8","48.4",
"USW00054811","2006-10","570","12","10","8",,,"0","11","0","6","0","21",,,"1.03","86",,"765",,"582",,,,,,,,"3.58",,"46.6","57.4","35.8",
"USW00054811","2006-11","570","0","5","4",,,"0","16","0","0","0","17",,,"1.37","67",,"1518",,"753",,,,,,,,"2.80",,"39.9","49.1","30.7",
"USW00054811","2006-12","570","0","9","5",,,"6","22","6","0","0","-8",,,"0.93","53",,"2606",,"1089",,,,,,,,"2.24",,"29.9","37.3","22.5",
"USW00054811","2007-01","0","0","10","5",,,"0","28","17","0","0","1",,,"0.30","48",,"3844",,"1238",,,,,,,,"1.11",,"25.1","31.7","18.5",
"USW00054811","2007-02","0","0","8","3",,,"11","28","19","0","0","-18",,,"0.71","45",,"5274",,"1430",,,,,,,,"1.66",,"13.9","21.3","6.6",
"USW00054811","2007-03","2","2","13","10",,,"0","16","6","4","0","13",,,"1.06","77",,"6002",,"728",,,,,,,,"4.17",,"41.6","50.2","33.0",
"USW00054811","2007-04","2","0","9","6",,,"0","14","2","6","0","20",,,"1.04","82",,"6590",,"587",,,,,,,,"3.76",,"45.4","56.4","34.5",
"USW00054811","2007-05","59","56","10","6",,,"0","0","0","22","0","38",,,"0.91","90",,"6700",,"110",,,,,,,,"2.00",,"63.2","76.0","50.3",
"USW00054811","2007-06","189","130","12","8",,,"0","0","0","27","2","44",,,"1.23","91",,"6736",,"36",,,,,,,,"3.94",,"68.1","79.3","57.0",
"USW00054811","2007-07","324","135","9","8",,,"0","0","0","31","0","49",,,"3.11","88",,"15",,"15",,,,,,,,"8.28",,"68.9","79.9","57.9",
"USW00054811","2007-08","529","205","16","10",,,"0","0","0","29","0","49",,,"5.46","88",,"26",,"11",,,,,,,,"14.34",,"71.2","80.3","62.2",
"USW00054811","2007-09","609","80","4","3",,,"0","1","0","25","0","32",,,"0.20","89",,"139",,"113",,,,,,,,"0.54",,"63.9","78.5","49.3",
"USW00054811","2007-10","643","33","11","8",,,"0","3","0","14","0","27",,,"0.61","87",,"451",,"312",,,,,,,,"1.98",,"56.0","67.5","44.5",
"USW00054811","2007-11","643","0","5","3",,,"0","24","3","0","0","12",,,"0.51","63",,"1317",,"866",,,,,,,,"1.01",,"36.1","45.6","26.7",
"USW00054811","2007-12","643","0","16","10",,,"2","29","20","0","0","-3",,,"0.78","47",,"2600",,"1282",,,,,,,,"3.42",,"23.6","30.2","17.1",
"USW00054811","2008-01","0","0","14","5",,,"11","27","18","0","0","-18",,,"0.46","62",,"4015",,"1416",,,,,,,,"1.63",,"19.3","28.7","9.9",
"USW00054811","2008-02","0","0","15","7",,,"3","29","19","0","0","-7",,,"0.98","40",,"5335",,"1319",,,,,,,,"3.46",,"19.5","26.4","12.6",
"USW00054811","2008-03","0","0","9","5",,,"0","27","6","0","0","8",,,"0.89","60",,"6330",,"995",,,,,,,,"2.09",,"32.9","40.4","25.4",
"USW00054811","2008-04","0","0","11","9",,,"0","8","0","8","0","27",,,"1.17","75",,"6837",,"508",,,,,,,,"3.69",,"48.1","58.3","37.8",
"USW00054811","2008-05","6","6","12","7",,,"0","0","0","11","0","34",,,"2.13","80",,"7158",,"321",,,,,,,,"4.91",,"54.5","66.3","42.7",
"USW00054811","2008-06","134","128","14","7",,,"0","0","0","28","0","50",,,"0.82","90",,"7167",,"9",,,,,,,,"3.90",,"69.0","79.4","58.5",
"USW00054811","2008-07","307","173","13","8",,,"0","0","0","31","0","45",,,"2.27","87",,"10",,"10",,,,,,,,"7.00",,"70.2","80.9","59.6",
"USW00054811","2008-08","388","80","3","3",,,"0","0","0","31","0","47",,,"1.03","85",,"29",,"19",,,,,,,,"1.57",,"67.0","78.4","55.5",
"USW00054811","2008-09","421","33","7","6",,,"0","0","0","19","0","38",,,"6.56","89",,"144",,"114",,,,,,,,"11.46",,"62.3","73.2","51.4",
"USW00054811","2008-10","423","2","9","6",,,"0","7","0","5","0","23",,,"0.55","83",,"633",,"490",,,,,,,,"1.98",,"49.3","60.6","37.9",
"USW00054811","2008-11","423","0","8","6",,,"0","19","2","3","0","9",,,"0.38","72",,"1496",,"863",,,,,,,,"1.52",,"36.2","44.7","27.7",
"USW00054811","2008-12","423","0","17","10",,,"8","31","19","0","0","-11",,,"1.24","51",,"2949",,"1453",,,,,,,,"5.04",,"18.1","27.6","8.7",
"USW00054811","2009-01","0","0","8","4",,,"12","31","27","0","0","-26",,,"0.25","37",,"4604",,"1655",,,,,,,,"0.76",,"11.6","20.5","2.7",
"USW00054811","2009-02","0","0","8","4",,,"3","25","14","0","0","-7",,,"1.16","58",,"5722",,"1118",,,,,,,,"2.33",,"25.1","33.4","16.8",
"USW00054811","2009-03","0","0","10","8",,,"0","20","5","1","0","7",,,"1.46","73",,"6581",,"859",,,,,,,,"5.54",,"37.3","47.1","27.4",
"USW00054811","2009-04","0","0","13","10",,,"0","14","0","4","0","25",,,"1.24","80",,"7149",,"568",,,,,,,,"4.63",,"46.1","57.5","34.7",
"USW00054811","2009-05","10","10","11","6",,,"0","0","0","14","0","34",,,"1.20","83",,"7377",,"228",,,,,,,,"3.72",,"58.0","69.5","46.4",
"USW00054811","2009-06","145","135","11","8",,,"0","0","0","24","1","41",,,"1.30","93",,"7431",,"54",,,,,,,,"4.20",,"67.8","77.9","57.7",
"USW00054811","2009-07","198","53","13","9",,,"0","0","0","26","0","46",,,"0.57","83",,"44",,"44",,,,,,,,"2.61",,"65.3","75.3","55.2",
"USW00054811","2009-08","280","83","11","7",,,"0","0","0","23","0","39",,,"1.28","87",,"100",,"56",,,,,,,,"5.11",,"65.8","75.6","56.1",
"USW00054811","2009-09","291","11","5","3",,,"0","0","0","23","0","38",,,"0.50","81",,"223",,"123",,,,,,,,"1.19",,"61.3","72.9","49.6",
"USW00054811","2009-10","291","0","18","11",,,"0","6","0","1","0","25",,,"1.41","70",,"807",,"583",,,,,,,,"6.28",,"46.2","54.0","38.4",
"USW00054811","2009-11","291","0","5","3",,,"0","13","0","1","0","25",,,"0.81","71",,"1483",,"677",,,,,,,,"1.33",,"42.4","51.8","33.0",
"USW00054811","2009-12","291","0","15","8",,,"3","31","17","0","0","-3",,,"1.20","55",,"2782",,"1299",,,,,,,,"3.88",,"23.1","29.9","16.3",
"USW00054811","2010-01","0","0","8","3",,,"7","30","26","0","0","-9",,,"0.52","39",,"4277",,"1495",,,,,,,,"1.11",,"16.8","23.2","10.4",
"USW00054811","2010-02","0","0","9","2",,,"0","28","20","0","0","0",,,"0.35","36",,"5460",,"1182",,,,,,,,"1.08",,"22.8","29.0","16.5",
"USW00054811","2010-03","0","0","8","5",,,"0","20","0","1","0","19",,,"0.39","77",,"6230",,"771",,,,,,,,"1.62",,"40.1","50.1","30.2",
"USW00054811","2010-04","7","7","10","7",,,"0","7","0","12","0","27",,,"1.03","83",,"6570",,"339",,,,,,,,"2.81",,"53.9","66.9","41.0",
"USW00054811","2010-05","86","79","10","5",,,"0","0","0","17","1","33",,,"2.30","93",,"6773",,"203",,,,,,,,"5.00",,"61.0","71.8","50.2",
"USW00054811","2010-06","227","141","13","10",,,"0","0","0","29","0","50",,,"2.16","88",,"6783",,"10",,,,,,,,"7.06",,"69.4","79.4","59.3",
"USW00054811","2010-07","471","244","10","6",,,"0","0","0","30","0","48",,,"1.90","89",,"3",,"3",,,,,,,,"4.04",,"73.0","83.4","62.6",
"USW00054811","2010-08","702","231","11","5",,,"0","0","0","31","0","48",,,"2.46","90",,"7",,"4",,,,,,,,"4.85",,"72.3","82.6","62.0",
"USW00054811","2010-09","757","56","12","6",,,"0","0","0","21","0","37",,,"0.86","89",,"133",,"126",,,,,,,,"2.05",,"62.7","74.3","51.0",
"USW00054811","2010-10","768","10","4","3",,,"0","7","0","11","0","24",,,"0.46","87",,"520",,"386",,,,,,,,"1.22",,"52.9","66.7","39.1",
"USW00054811","2010-11","768","0","8","2",,,"0","20","1","0","0","16",,,"0.48","69",,"1298",,"778",,,,,,,,"1.23",,"39.1","49.7","28.4",
"USW00054811","2010-12","768","0","13","7",,,"8","29","27","0","0","-8",,,"0.69","51",,"2793",,"1495",,,,,,,,"2.44",,"16.8","24.6","8.9",
"USW00054811","2011-01","0","0","7","3",,,"4","31","26","0","0","-12",,,"0.41","36",,"4261",,"1469",,,,,,,,"0.80",,"17.6","24.7","10.5",
"USW00054811","2011-02","0","0","11","4",,,"5","26","14","0","0","-15",,,"0.65","52",,"5430",,"1169",,,,,,,,"1.79",,"23.3","30.0","16.5",
"USW00054811","2011-03","0","0","8","6",,,"0","25","0","0","0","17",,,"0.67","67",,"6334",,"904",,,,,,,,"2.17",,"35.8","44.4","27.2",
"USW00054811","2011-04","5","5","18","13",,,"0","4","0","3","0","26",,,"0.97","82",,"6874",,"540",,,,,,,,"4.73",,"47.2","56.4","37.9",
"USW00054811","2011-05","68","63","11","6",,,"0","2","0","15","1","29",,,"2.40","91",,"7119",,"245",,,,,,,,"4.78",,"58.7","70.2","47.2",
"USW00054811","2011-06","218","150","11","6",,,"0","0","0","24","4","51",,,"1.32","94",,"7146",,"27",,,,,,,,"4.07",,"69.1","79.1","59.1",
"USW00054811","2011-07","546","328","11","6",,,"0","0","0","31","4","53",,,"1.43","94",,"0",,"0",,,,,,,,"3.76",,"75.6","85.3","65.9",
"USW00054811","2011-08","688","142","8","7",,,"0","0","0","31","1","48",,,"1.39","91",,"10",,"10",,,,,,,,"4.20",,"69.2","80.0","58.5",
"USW00054811","2011-09","732","44","9","6",,,"0","0","0","12","1","34",,,"2.36","90",,"242",,"232",,,,,,,,"3.81",,"58.7","69.0","48.5",
"USW00054811","2011-10","735","2","7","5",,,"0","8","0","11","0","27",,,"0.46","82",,"667",,"425",,,,,,,,"1.36",,"51.3","63.9","38.8",
"USW00054811","2011-11","735","0","7","5",,,"0","14","0","0","0","21",,,"1.42","68",,"1381",,"714",,,,,,,,"3.93",,"41.2","49.8","32.6",
"USW00054811","2011-12","735","0","11","5",,,"0","26","8","0","0","8",,,"1.45","54",,"2409",,"1028",,,,,,,,"3.07",,"31.9","38.7","25.0",
"USW00054811","2012-01","0","0","11","3",,,"0","29","12","0","0","0",,,"0.46","55",,"3597",,"1188",,,,,,,,"1.04",,"26.7","35.5","17.9",
"USW00054811","2012-02","0","0","10","6",,,"0","27","3","0","0","7",,,"0.43","53",,"4617",,"1021",,,,,,,,"1.73",,"29.8","37.1","22.5",
"USW00054811","2012-03","20","20","9","5",,,"0","9","2","11","0","15",,,"0.40","82",,"5069",,"451",,,,,,,,"1.46",,"51.1","61.6","40.5",
"USW00054811","2012-04","21","1","7","4",,,"0","7","0","4","0","25",,,"1.06","76",,"5549",,"480",,,,,,,,"2.43",,"49.0","60.9","37.2",
"USW00054811","2012-05","118","97","9","6",,,"0","0","0","18","2","40",,,"1.14","96",,"5678",,"129",,,,,,,,"2.75",,"63.9","75.9","52.0",
"USW00054811","2012-06","304","186","3","3",,,"0","0","0","29","4","44",,,"0.31","96",,"5713",,"35",,,,,,,,"0.83",,"70.0","82.8","57.3",
"USW00054811","2012-07","661","357","10","6",,,"0","0","0","31","10","51",,,"0.74","99",,"0",,"0",,,,,,,,"2.30",,"76.5","88.7","64.3",
"USW00054811","2012-08","799","138","5","5",,,"0","0","0","30","6","45",,,"0.80","92",,"27",,"27",,,,,,,,"2.57",,"68.6","82.0","55.1",
"USW00054811","2012-09","859","60","7","6",,,"0","2","0","23","2","30",,,"0.35","92",,"232",,"204",,,,,,,,"1.47",,"60.2","74.6","45.9",
"USW00054811","2012-10","862","3","10","9",,,"0","11","0","4","0","24",,,"0.99","77",,"750",,"518",,,,,,,,"3.09",,"48.4","59.6","37.1",
"USW00054811","2012-11","862","0","3","3",,,"0","23","2","0","0","10",,,"0.44","67",,"1588",,"838",,,,,,,,"0.71",,"37.1","47.4","26.8",
"USW00054811","2012-12","862","0","9","5",,,"0","23","10","0","0","8",,,"0.85","69",,"2596",,"1008",,,,,,,,"1.76",,"32.5","39.6","25.4",
"USW00054811","2013-01","0","0","12","6",,,"1","28","15","0","0","-4",,,"1.15","62",,"3880",,"1285",,,,,,,,"3.44",,"23.6","32.6","14.5",
"USW00054811","2013-02","0","0","12","6",,,"1","28","16","0","0","-3",,,"0.87","49",,"5046",,"1165",,,,,,,,"3.02",,"23.4","30.7","16.1",
"USW00054811","2013-03","0","0","10","2",,,"0","30","11","0","0","3",,,"0.91","56",,"6178",,"1133",,,,,,,,"2.14",,"28.5","35.5","21.4",
"USW00054811","2013-04","6","6","13","7",,,"0","7","0","3","0","20",,,"2.69","83",,"6768",,"590",,,,,,,,"7.96",,"45.5","55.5","35.5",
"USW00054811","2013-05","73","67","14","11",,,"0","0","0","20","1","33",,,"0.80","91",,"6959",,"191",,,,,,,,"3.58",,"61.0","72.2","49.8",
"USW00054811","2013-06","202","129","15","12",,,"0","0","0","25","0","42",,,"1.77","88",,"7012",,"52",,,,,,,,"7.84",,"67.5","77.7","57.4",
"USW00054811","2013-07","358","157","10","5",,,"0","0","0","26","2","48",,,"0.41","91",,"33",,"33",,,,,,,,"1.57",,"69.1","79.3","58.9",
"USW00054811","2013-08","492","134","5","5",,,"0","0","0","31","1","43",,,"2.91","91",,"58",,"25",,,,,,,,"4.18",,"68.5","80.3","56.8",
"USW00054811","2013-09","568","76","8","3",,,"0","0","0","21","1","38",,,"0.80","91",,"202",,"144",,,,,,,,"1.31",,"62.7","75.2","50.2",
"USW00054811","2013-10","582","13","10","7",,,"0","11","0","9","0","24",,,"0.87","79",,"676",,"474",,,,,,,,"2.92",,"50.1","61.6","38.7",
"USW00054811","2013-11","582","0","9","6",,,"0","23","6","0","0","6",,,"1.00","65",,"1598",,"922",,,,,,,,"2.18",,"34.3","43.2","25.3",
"USW00054811","2013-12","582","0","16","5",,,"8","30","19","0","0","-10",,,"0.33","53",,"3022",,"1424",,,,,,,,"1.52",,"19.1","27.6","10.6",
"USW00054811","2014-01","0","0","11","4",,,"14","31","22","0","0","-19",,,"0.60","41",,"4656",,"1634",,,,,,,,"1.59",,"12.3","21.1","3.5",
"USW00054811","2014-02","0","0","9","3",,,"14","28","23","0","0","-21",,,"2.74","42",,"6159",,"1504",,,,,,,,"4.33",,"11.3","20.6","2.0",
"USW00054811","2014-03","0","0","12","5",,,"2","24","9","0","0","-7",,,"0.29","63",,"7281",,"1121",,,,,,,,"1.05",,"28.8","37.1","20.6",
"USW00054811","2014-04","0","0","11","5",,,"0","12","0","3","0","20",,,"0.84","79",,"7820",,"539",,,,,,,,"2.96",,"47.0","58.9","35.2",
"USW00054811","2014-05","67","67","11","7",,,"0","0","0","16","0","33",,,"0.43","89",,"8042",,"222",,,,,,,,"1.98",,"59.8","71.5","48.1",
"USW00054811","2014-06","223","157","14","12",,,"0","0","0","26","0","48",,,"2.24","90",,"8064",,"22",,,,,,,,"8.22",,"69.5","79.7","59.2",
"USW00054811","2014-07","301","78","8","5",,,"0","0","0","29","0","49",,,"1.21","88",,"37",,"37",,,,,,,,"2.32",,"66.3","76.7","55.9",
"USW00054811","2014-08","448","147","11","7",,,"0","0","0","30","0","48",,,"1.81","85",,"43",,"6",,,,,,,,"3.80",,"69.7","79.5","59.9",
"USW00054811","2014-09","483","35","8","5",,,"0","0","0","20","0","33",,,"1.30","84",,"233",,"191",,,,,,,,"2.79",,"59.8","72.1","47.5",
"USW00054811","2014-10","484","1","8","3",,,"0","9","0","4","0","25",,,"0.94","76",,"715",,"481",,,,,,,,"2.44",,"49.5","60.3","38.7",
"USW00054811","2014-11","484","0","10","4",,,"0","23","12","0","0","0",,,"0.51","63",,"1741",,"1026",,,,,,,,"1.44",,"30.8","39.6","21.9",
"USW00054811","2014-12","484","0","7","4",,,"0","27","10","0","0","1",,,"0.28","50",,"2838",,"1097",,,,,,,,"0.87",,"29.6","35.0","24.2",
"USW00054811","2015-01","0","0","14","6",,,"9","31","20","0","0","-14",,,"0.49","40",,"4248",,"1410",,,,,,,,"1.82",,"19.5","27.3","11.7",
"USW00054811","2015-02","0","0","9","3",,,"18","28","25","0","0","-20",,,"0.91","37",,"5781",,"1533",,,,,,,,"1.39",,"10.2","20.7","-0.2",
"USW00054811","2015-03","0","0","12","2",,,"2","25","6","1","0","-5",,,"0.32","72",,"6761",,"980",,,,,,,,"0.78",,"33.4","43.3","23.5",
"USW00054811","2015-04","0","0","10","7",,,"0","6","0","5","0","22",,,"0.67","76",,"7238",,"477",,,,,,,,"3.55",,"49.1","62.0","36.2",
"USW00054811","2015-05","46","46","15","12",,,"0","1","0","17","0","30",,,"1.06","84",,"7410",,"173",,,,,,,,"5.41",,"60.8","71.3","50.3",
"USW00054811","2015-06","156","110","15","12",,,"0","0","0","27","1","41",,,"1.82","90",,"7441",,"30",,,,,,,,"6.65",,"67.7","77.1","58.2",
"USW00054811","2015-07","309","152","10","6",,,"0","0","0","30","0","47",,,"1.11","89",,"21",,"21",,,,,,,,"3.80",,"69.2","79.2","59.3",
"USW00054811","2015-08","414","105","8","5",,,"0","0","0","29","0","44",,,"1.29","87",,"54",,"33",,,,,,,,"2.82",,"67.3","77.7","56.9",
"USW00054811","2015-09","526","112","7","5",,,"0","0","0","24","0","41",,,"1.12","89",,"139",,"85",,,,,,,,"2.88",,"65.9","77.5","54.3",
"USW00054811","2015-10","526","0","6","5",,,"0","4","0","8","0","26",,,"0.66","79",,"528",,"388",,,,,,,,"1.98",,"52.5","63.2","41.8",
"USW00054811","2015-11","526","0","11","9",,,"0","15","1","3","0","3",,,"2.37","72",,"1213",,"686",,,,,,,,"5.17",,"42.2","51.5","32.8",
"USW00054811","2015-12","526","0","13","9",,,"0","16","4","0","0","14",,,"1.52","60",,"2077",,"864",,,,,,,,"5.12",,"37.1","42.3","31.9",
"USW00054811","2016-01","0","0","8","3",,,"6","29","18","0","0","-5",,,"0.26","43",,"3413",,"1336",,,,,,,,"0.69",,"21.9","28.8","15.0",
"USW00054811","2016-02","0","0","13","1",,,"0","25","11","0","0","0",,,"0.55","61",,"4470",,"1057",,,,,,,,"0.91",,"28.6","35.4","21.7",
"USW00054811","2016-03","0","0","17","6",,,"0","15","2","1","0","10",,,"1.11","70",,"5183",,"713",,,,,,,,"3.66",,"42.0","50.8","33.2",
"USW00054811","2016-04","4","4","13","7",,,"0","10","0","8","0","21",,,"0.72","83",,"5713",,"531",,,,,,,,"2.46",,"47.5","58.4","36.6",
"USW00054811","2016-05","61","56","12","10",,,"0","0","0","13","0","33",,,"2.90","87",,"5948",,"234",,,,,,,,"6.75",,"59.1","70.0","48.2",
"USW00054811","2016-06","216","155","8","6",,,"0","0","0","29","0","49",,,"1.36","90",,"5965",,"17",,,,,,,,"3.56",,"69.6","80.5","58.6",
"USW00054811","2016-07","434","218","8","6",,,"0","0","0","31","2","50",,,"2.26","91",,"11",,"11",,,,,,,,"5.94",,"71.7","81.8","61.6",
"USW00054811","2016-08","646","213","14","9",,,"0","0","0","31","0","48",,,"1.27","89",,"15",,"5",,,,,,,,"5.17",,"71.7","81.8","61.7",
"USW00054811","2016-09","755","108","8","3",,,"0","0","0","25","1","47",,,"1.23","90",,"57",,"41",,,,,,,,"1.91",,"67.2","77.9","56.6",
"USW00054811","2016-10","769","15","8","4",,,"0","6","0","11","0","29",,,"0.76","83",,"395",,"338",,,,,,,,"2.20",,"54.6","65.4","43.7",
"USW00054811","2016-11","770","1","5","5",,,"0","8","0","2","0","16",,,"1.11","75",,"1008",,"613",,,,,,,,"2.35",,"44.6","54.1","35.1",
"USW00054811","2016-12","770","0","9","3",,,"5","30","14","0","0","-14",,,"0.47","46",,"2324",,"1316",,,,,,,,"1.13",,"22.5","28.9","16.2",
"USC00117833","1998-01",,,"9","8","23","2",,,,,,,"7","2.0","0.58",,,,,,,,,,,,,"2.28","5.0",,,,
"USC00117833","1998-02",,,"7","5","10","0",,,,,,,"4","0.0","0.57",,,,,,,,,,,,,"1.82","0.0",,,,
"USC00117833","1998-03",,,"8","5","8","1",,,,,,,"2","2.0","1.05",,,,,,,,,,,,,"3.16","2.0",,,,
"USC00117833","1998-04",,,"11","10","0","0",,,,,,,"0","0.0","1.38",,,,,,,,,,,,,"4.70","0.0",,,,
"USC00117833","1998-05",,,"8","5","0","0",,,,,,,"0","0.0","1.57",,,,,,,,,,,,,"4.31","0.0",,,,
"USC00117833","1998-06",,,"11","10","0","0",,,,,,,"0","0.0","1.63",,,,,,,,,,,,,"6.04","0.0",,,,
"USC00117833","1998-07",,,"7","5","0","0",,,,,,,"0","0.0","1.08",,,,,,,,,,,,,"3.47","0.0",,,,
"USC00117833","1998-08",,,"5","4","0","0",,,,,,,"0","0.0","1.30",,,,,,,,,,,,,"3.41","0.0",,,,
"USC00117833","1998-09",,,"8","7","0","0",,,,,,,"0","0.0","0.74",,,,,,,,,,,,,"3.04","0.0",,,,
"USC00117833","1998-10",,,"9","8",,"0",,,,,,,,"0.0","2.95",,,,,,,,,,,,,"6.79","0.0",,,,
"USC00117833","1998-11",,,"4","3","1","0",,,,,,,"1","0.7","1.20",,,,,,,,,,,,,"1.47","0.7",,,,
