AG_DISTRICT,YEAR,MONTH,TMP_HIGH,TMP_AVG,TMP_LOW,DP_HIGH,DP_AVG,DP_LOW,HUM_HIGH,HUM_AVG,HUM_LOW,SEALVL_HIGH,SEALVL_AVG,SEALVL_LOW,VIS_HIGH,VIS_AVG,VIS_LOW,WIND_HIGH,WIND_AVG,PRECIP,NUMDAY_RAIN,NUM_DAYS_SNOW,NUM_DAYS_FOG,NUM_DAYS_THNDRSTRM
central,2001,OCT,82.0,53.38709677,32.0,66.0,42.25806452,19.0,100.0,66.83870968,23.0,30.5,30.05548387,29.36,20.0,9.483870968,0.0,29.0,9.096774194,0.0,11.0,0.0,1.0,2.0
central,2001,SEP,89.0,64.03333333,39.0,72.0,53.43333333,18.0,100.0,68.76666667,23.0,30.4,30.08666667,29.63,20.0,9.266666667,0.0,24.0,6.666666667,0.0,8.0,0.0,5.0,3.0
east,2001,ARP,82.66666666666667,56.29999999666666,29.0,66.66666666666667,44.411111113333334,21.333333333333332,100.0,67.62222222333334,23.666666666666668,30.423333333333336,30.061222223333335,29.48,10.0,8.988888889,0.6666666666666666,29.666666666666668,9.911111112333334,0.61,21.0,0.0,2.0,9.0
east,2001,AUG,93.0,72.41935484,46.0,77.0,64.58064516,45.0,100.0,80.41935484,34.0,30.29,30.02225806,29.72,10.0,7.483870968,0.0,21.0,4.612903226,5.33,13.0,0.0,6.0,6.0
east,2001,DEC,66.0,34.09677419,5.0,58.0,29.93548387,1.0,100.0,83.80645161,43.0,30.4,30.06677419,29.66,10.0,7.322580645,0.0,31.0,10.83870968,1.75,8.0,10.0,7.0,0.0
east,2001,FEB,80.33333333333333,56.251796160000005,29.666666666666668,69.66666666666667,49.09753550666667,23.333333333333332,100.0,78.13613199666666,32.666666666666664,30.433333333333334,30.0880401,29.64,10.0,8.130743525666666,0.0,28.333333333333332,7.41449457,1.5533333333333335,9.0,10.0,8.0,4.0
east,2001,JAN,68.0,50.47446236666667,29.0,62.0,44.09677419333334,26.666666666666668,100.0,80.30376344,42.0,30.33,30.013884410000003,29.599999999999998,10.0,7.4932795699999994,0.3333333333333333,25.666666666666668,9.3172043,0.36333333333333334,6.0,11.0,7.0,0.0
east,2001,JUL,84.0,53.599462365,25.0,67.0,46.643010755,20.0,100.0,78.686021505,38.0,30.33,30.01776344,29.695,10.0,7.967204301000001,0.0,31.0,7.3397849465,1.31,13.0,10.0,2.0,11.0
east,2001,JUN,81.0,57.75,33.0,65.0,48.912499999999994,32.0,100.0,74.36666667,32.5,30.4,30.039833335,29.455,10.0,8.162500000000001,0.0,26.5,8.6,1.29,7.0,0.0,1.0,10.0
east,2001,MAR,79.66666666666667,54.19354838666666,29.333333333333332,67.0,44.74193548333333,21.0,100.0,74.08602150666667,23.0,30.41333333333333,30.031182793333333,29.536666666666665,10.0,8.419354839,0.0,29.666666666666668,8.301075267666667,1.3566666666666667,23.0,6.0,2.0,6.0
east,2001,MAY,82.33333333333333,53.83512545,27.666666666666668,60.333333333333336,42.487455196666666,20.0,100.0,69.68100358333334,27.333333333333332,30.3,29.98344086,29.613333333333333,10.0,8.645161290333332,0.0,33.333333333333336,9.218637991,1.1166666666666667,21.0,11.0,4.0,8.0
east,2001,NOV,73.0,48.46666667,23.0,60.0,39.1,20.0,100.0,74.26666667,26.0,30.49,30.127,29.41,10.0,8.333333332999999,0.0,30.0,11.06666667,1.78,10.0,1.0,1.0,0.0
east,2001,OCT,89.0,52.67741935,26.0,66.0,42.38709677,21.0,100.0,71.5483871,25.0,30.55,30.06258065,29.29,10.0,9.064516129,0.0,38.0,10.5483871,4.76,11.0,0.0,1.0,2.0
east,2001,SEP,88.0,63.33333333,33.0,73.0,53.03333333,25.0,100.0,74.33333333,22.0,30.38,30.07033333,29.66,10.0,8.8,0.0,29.0,6.533333333,2.79,11.0,0.0,4.0,3.0
east southeast,2001,ARP,85.33333333333333,56.11648745333334,26.0,67.66666666666667,43.62580645,12.0,100.0,66.39462365666667,19.333333333333332,30.513333333333332,30.06344086,29.42,10.0,9.316845878333332,0.6666666666666666,34.333333333333336,10.104301075333334,1.9866666666666666,10.0,0.0,0.0,6.0
east southeast,2001,AUG,93.0,72.41935484,46.0,77.0,64.58064516,45.0,100.0,80.41935484,34.0,30.29,30.02225806,29.72,10.0,7.483870968,0.0,21.0,4.612903226,5.33,13.0,0.0,6.0,6.0
east southeast,2001,DEC,66.0,34.09677419,5.0,58.0,29.93548387,1.0,100.0,83.80645161,43.0,30.4,30.06677419,29.66,10.0,7.322580645,0.0,31.0,10.83870968,1.75,8.0,10.0,7.0,0.0
east southeast,2001,FEB,81.33333333333333,60.00450811666667,36.333333333333336,71.0,52.65162292,30.0,100.0,77.89262339,28.66,30.363333333333333,30.070498896666667,23.080000000000002,10.0,8.334101382333333,0.0,28.666666666666668,6.866442931333334,1.7599999999999998,9.0,10.0,6.0,4.0
east southeast,2001,JAN,74.66666666666667,59.62168459000001,41.0,68.66666666666667,55.90788530333333,39.0,100.0,86.20931899666668,54.0,30.376666666666665,30.035412190000002,29.676666666666666,10.0,7.451612903333333,0.0,20.666666666666668,5.1172043,1.0133333333333334,6.0,11.0,7.0,0.0
east southeast,2001,JUL,102.0,74.03225806,45.0,79.0,65.41935484,39.0,100.0,77.83870968,34.0,30.28,30.00419355,29.8,10.0,7.967741935,0.0,30.0,5.612903226,2.62,12.0,0.0,2.0,11.0
east southeast,2001,JUN,73.66666666666667,48.03046595000001,21.0,63.666666666666664,42.02724014333334,19.666666666666668,100.0,81.43620071666668,44.0,30.366666666666664,30.052953406666663,29.606666666666666,10.0,8.054121863666667,0.3333333333333333,25.333333333333332,7.6652329749999994,1.9433333333333334,24.0,12.0,4.0,11.0
east southeast,2001,MAR,78.66666666666667,55.74193548333333,27.333333333333332,65.66666666666667,44.78781361666666,11.666666666666666,100.0,70.26594982,20.333333333333332,30.403333333333332,30.06282437,29.650000000000002,10.0,8.621146953666667,0.0,25.666666666666668,6.813978493333333,0.45,8.0,6.0,0.0,0.0
east southeast,2001,MAY,80.33333333333333,53.922222223333335,26.666666666666668,63.666666666666664,43.962096773333336,17.0,100.0,73.11680107666668,27.0,30.436666666666667,30.09563889,29.47,10.0,8.838485663333334,0.0,31.0,8.444758063333333,1.3966666666666665,24.0,0.0,2.0,10.0
east southeast,2001,NOV,73.0,48.46666667,23.0,60.0,39.1,20.0,100.0,74.26666667,26.0,30.49,30.127,29.41,10.0,8.333333332999999,0.0,30.0,11.06666667,1.78,10.0,1.0,1.0,0.0
east southeast,2001,OCT,89.0,52.67741935,26.0,66.0,42.38709677,21.0,100.0,71.5483871,25.0,30.55,30.06258065,29.29,10.0,9.064516129,0.0,38.0,10.5483871,4.76,11.0,0.0,1.0,2.0
east southeast,2001,SEP,88.0,63.33333333,33.0,73.0,53.03333333,25.0,100.0,74.33333333,22.0,30.38,30.07033333,29.66,10.0,8.8,0.0,29.0,6.533333333,2.79,11.0,0.0,4.0,3.0
northeast,2001,ARP,77.66666666666667,51.57387494666667,28.0,65.0,41.78016726333333,18.0,100.0,71.52409398666667,22.0,30.47,30.02215053666667,29.360000000000003,10.0,8.77737953,0.0,36.0,9.767423336,1.6933333333333334,26.0,0.0,4.0,18.0
northeast,2001,FEB,90.33333333333333,69.07491039666667,46.333333333333336,75.66666666666667,61.00573476666667,26.666666666666668,100.0,76.20573476666667,22.0,30.3,30.034086023333334,29.636666666666667,10.0,8.710752688,0.0,22.666666666666668,5.697491039333333,1.1633333333333333,1.0,0.0,1.0,0.0
northeast,2001,JAN,89.66666666666667,74.37777777666666,57.0,77.33333333333333,67.02222222333334,54.0,100.0,78.13888889,43.666666666666664,30.186666666666667,29.97494444333333,29.810000000000002,10.0,8.461111111333333,1.3333333333333333,20.666666666666668,5.1499999999999995,0.27999999999999997,0.0,0.0,0.0,0.0
northeast,2001,JUN,66.0,33.61021505,6.5,56.0,26.58548387,0.5,96.5,76.02419355,30.0,30.345,29.988677420000002,29.55,10.0,7.666129032500001,0.0,31.5,10.643548384999999,0.4,15.0,19.0,10.0,0.0
northeast,2001,MAR,87.0,59.281609196666665,34.666666666666664,70.0,51.186590036666665,24.666666666666668,100.0,76.28582375333333,26.333333333333332,30.436666666666667,30.05275096,29.48,10.0,8.934099616666666,0.0,27.666666666666668,7.890421456000001,2.1933333333333334,15.0,0.0,4.0,8.0
northeast,2001,MAY,69.66666666666667,43.36234705333334,14.666666666666666,56.333333333333336,33.00919231,2.6666666666666665,93.66666666666667,68.39205599,17.333333333333332,30.39,30.029165123333332,29.396666666666665,10.0,7.940674823666666,0.0,31.0,10.112238908,0.85,25.0,8.0,7.0,2.0
northwest,2001,ARP,84.0,54.57580645,28.0,65.0,40.76989247,17.5,94.0,62.554301075,23.0,30.43,29.996322579999998,29.354999999999997,10.0,9.261290322499999,0.0,38.0,10.1672043025,1.585,0.0,0.0,0.0,7.0
northwest,2001,AUG,93.0,70.87096774,48.0,77.0,62.83870968,45.0,100.0,77.0,34.0,30.23,29.99935484,29.67,10.0,8.193548387,0.0,20.0,4.5806451610000005,5.62,0.0,0.0,0.0,5.0
northwest,2001,DEC,66.0,32.16129032,5.0,55.0,26.41935484,-2.0,100.0,79.61290323,38.0,30.33,30.00741935,29.57,10.0,9.258064516000001,0.0,31.0,8.225806452,0.1,0.0,0.0,0.0,1.0
northwest,2001,FEB,69.33333333333333,43.113287250000006,15.333333333333334,59.333333333333336,35.68433179666666,-3.3333333333333335,97.66666666666667,75.28379416,29.0,30.403333333333336,30.05827189,29.503333333333334,10.0,8.200460829333332,0.0,33.0,8.220814132,0.52,6.0,9.0,4.0,2.0
northwest,2001,JAN,67.0,47.869247313333325,21.333333333333332,58.0,40.36114695333334,16.0,93.66666666666667,75.39784946333334,39.333333333333336,30.45,30.037453763333332,29.473333333333333,10.0,8.349103942666668,0.0,26.0,7.208028674,1.0066666666666666,10.0,0.0,4.0,3.0
northwest,2001,JUL,91.0,73.63333333,42.0,82.0,63.1,28.0,100.0,71.23333333,35.0,30.29,29.979,29.8,10.0,8.3,0.0,18.0,4.333333333,0.05,0.0,0.0,0.0,5.0
northwest,2001,JUN,79.5,50.643548385,26.0,66.0,40.88548387,17.5,97.0,70.240860215,31.5,30.32,29.991844084999997,29.525,10.0,8.282795699000001,0.0,39.0,8.060215051499998,1.075,8.0,10.0,4.0,4.0
northwest,2001,MAR,74.0,49.583333335,26.5,59.0,38.69408602,15.0,91.0,67.65645161500001,31.5,30.445,30.049236559999997,29.509999999999998,10.0,8.969892473,0.0,26.5,7.999462366,0.53,0.0,0.0,0.0,0.0
northwest,2001,MAY,80.0,54.95564516,24.5,63.5,42.531586020000006,13.0,91.0,64.35282258000001,20.5,30.35,29.961478495,29.335,10.0,8.5967741935,0.5,31.0,9.282930108999999,2.755,8.0,0.0,2.0,8.0
northwest,2001,NOV,71.0,48.03333333,24.0,61.0,38.33333333,19.0,100.0,72.06666667,27.0,30.45,30.061999999999998,29.26,10.0,9.266666667,0.0,28.0,7.033333333,0.0,0.0,0.0,0.0,1.0
northwest,2001,OCT,82.0,51.09677419,26.0,63.0,40.54838710000001,19.0,100.0,69.48387097,25.0,30.49,30.00290323,29.38,10.0,9.419354839,0.0,37.0,7.451612902999999,0.12,0.0,0.0,0.0,3.0
northwest,2001,SEP,89.0,60.96666667,35.0,73.0,51.73333333,28.0,100.0,74.8,31.0,30.42,30.06266667,29.56,10.0,8.866666667,0.0,21.0,5.533333333,0.0,0.0,0.0,0.0,3.0
southeast,2001,ARP,82.0,57.048387094999995,28.0,69.0,44.822580645,18.5,100.0,67.4516129,20.5,30.575,30.103064515,29.425,10.0,9.290322581000002,0.0,27.0,5.5483870965,5.68,2.0,0.0,0.0,7.0
southeast,2001,FEB,94.0,76.87096774,54.0,79.0,68.54838709500001,43.0,100.0,76.822580645,25.5,30.26,30.023064515,29.75,10.0,7.790322580499999,0.0,25.5,3.0806451615,1.27,0.0,0.0,0.0,0.0
southeast,2001,JAN,94.0,80.19999999999999,68.5,84.5,74.83333332999999,67.0,100.0,85.13333333,45.0,30.165,29.985666665000004,29.855,10.0,5.666666666499999,0.0,22.5,3.1333333334999995,1.35,0.0,0.0,0.0,0.0
southeast,2001,JUN,67.5,39.390083634999996,13.0,56.0,33.53046595,5.0,100.0,80.428912785,24.5,30.365000000000002,30.078076465,29.65,10.0,8.316009558,0.0,23.0,4.7395459975,3.66,15.0,4.0,5.0,1.0
southeast,2001,MAR,91.0,66.98333333,33.0,75.0,56.233333335,23.0,100.0,72.08333333499999,17.0,30.335,30.063666665,29.755000000000003,10.0,8.4833333335,0.0,21.0,3.766666667,1.53,0.0,0.0,0.0,0.0
southeast,2001,MAY,74.0,51.920689655000004,30.0,63.5,40.16321839,13.0,100.0,68.09137931000001,15.0,30.49,30.15302299,29.490000000000002,10.0,8.675862069,0.0,25.0,4.595402299,2.44,17.0,0.0,6.0,6.0
southwest,2001,ARP,85.66666666666667,59.28566308333333,27.333333333333332,72.33333333333333,45.835842289999995,18.666666666666668,100.0,64.26881720666667,22.333333333333332,30.5,30.06218279333333,29.44333333333333,9.0,8.373476702333333,1.0,36.666666666666664,8.427240142999999,2.4,16.0,0.0,0.0,24.0
southwest,2001,AUG,96.0,77.41935484,57.0,81.0,68.4516129,52.0,100.0,75.03225806,35.0,30.27,30.01193548,29.73,7.0,6.387096774,0.0,30.0,5.4193548389999995,2.95,8.0,0.0,0.0,7.0
southwest,2001,DEC,69.0,38.25806452,10.0,61.0,32.16129032,9.0,100.0,79.93548387,33.0,30.41,30.1,29.69,7.0,6.290322581,0.0,28.0,8.548387097,4.16,11.0,4.0,3.0,0.0
southwest,2001,FEB,86.33333333333333,64.99725274666667,41.333333333333336,74.33333333333333,57.55219780333332,36.333333333333336,100.0,77.18681318333333,32.666666666666664,30.400000000000002,30.065009160000002,16.526666666666667,9.0,6.934981685333334,0.0,25.666666666666668,7.026556775333333,2.32,11.0,7.0,4.0,3.0
southwest,2001,JAN,80.33333333333333,64.8781362,45.333333333333336,76.0,60.90681003666666,46.0,100.0,84.00501792,56.333333333333336,30.373333333333335,30.041512543333337,29.669999999999998,9.0,6.265232974666667,0.0,28.0,5.160573477000001,1.0333333333333332,6.0,10.0,4.0,1.0
southwest,2001,JUL,100.0,79.12903226,57.0,82.0,69.06451613,45.0,100.0,74.03225806,27.0,30.26,29.98967742,29.81,7.0,6.129032258,0.0,26.0,5.5806451610000005,5.78,16.0,0.0,2.0,13.0
southwest,2001,JUN,75.66666666666667,50.11863799,25.666666666666668,62.333333333333336,40.389964156666665,15.0,100.0,70.08172043333333,30.0,30.326666666666668,30.05058064666667,29.650000000000002,9.0,7.855913978666666,0.0,24.0,6.854121863666665,2.3566666666666665,29.0,2.0,3.0,8.0
southwest,2001,MAR,82.66666666666667,59.21218638333334,31.666666666666668,68.33333333333333,48.05017921,19.333333333333332,100.0,69.77634408666667,19.0,30.383333333333336,30.055928316666666,29.650000000000002,9.0,7.8745519716666665,0.0,31.333333333333332,5.936917562999999,0.96,11.0,1.0,3.0,2.0
southwest,2001,MAY,78.33333333333333,56.61505376333333,31.333333333333332,65.0,43.908960576666665,18.666666666666668,96.0,64.80430107666668,18.0,30.436666666666664,30.066129033333336,29.433333333333337,9.0,8.136917562999999,0.3333333333333333,60.333333333333336,6.939068100666667,2.36,35.0,0.0,5.0,17.0
southwest,2001,NOV,75.0,50.6,28.0,63.0,40.93333333,21.0,100.0,72.76666667,21.0,30.53,30.139,29.08,7.0,6.533333333,0.0,23.0,7.4,3.33,9.0,0.0,2.0,4.0
southwest,2001,OCT,84.0,56.48387097,26.0,70.0,45.09677419,21.0,100.0,70.06451613,23.0,30.57,30.08645161,29.26,7.0,6.677419355,0.0,31.0,8.419354839,4.09,10.0,0.0,5.0,5.0
southwest,2001,SEP,91.0,66.5,39.0,75.0,56.63333333,32.0,100.0,72.9,27.0,30.37,30.06633333,29.71,7.0,6.533333333,1.0,31.0,6.233333332999999,2.63,7.0,0.0,5.0,4.0
west,2001,ARP,88.0,61.98585859,32.666666666666664,73.33333333333333,51.7969697,26.333333333333332,98.0,70.64848484666668,31.333333333333332,30.386666666666667,30.01170707,29.526666666666667,10.0,9.083838383666667,0.3333333333333333,29.0,7.526262625333334,0.0,0.0,0.0,0.0,0.0
west,2001,AUG,98.0,70.9,-99.0,82.0,65.16666667,-99.0,100.0,68.96666667,39.0,30.22,30.021,29.72,10.0,9.4,0.0,25.0,5.3,0.0,0.0,0.0,0.0,0.0
west,2001,DEC,69.0,36.96666667,10.0,57.0,24.43333333,-2.0,72.0,59.76666667,29.0,30.33,30.044,29.55,10.0,9.233333333,0.0,29.0,8.033333333,0.0,0.0,0.0,0.0,0.0
west,2001,FEB,84.66666666666667,60.43247863,7.0,67.66666666666667,50.03846153999999,1.6666666666666667,88.66666666666667,68.23418803666665,37.333333333333336,30.35666666666667,30.047829063333335,29.76,10.0,8.558119658,0.0,17.0,5.770940170666667,0.0,0.0,0.0,0.0,0.0
west,2001,JAN,44.0,26.58064516,1.0,37.0,21.19354839,-4.0,93.0,78.41935484,49.0,30.71,30.11870968,29.27,10.0,7.806451612999999,0.0,26.0,7.35483871,0.0,0.0,0.0,0.0,0.0
west,2001,JUL,75.66666666666667,48.34408602,23.0,65.33333333333333,41.78494623666666,15.666666666666666,98.0,78.67741935666666,36.0,30.326666666666668,30.055053763333333,29.706666666666667,10.0,8.602150538,0.0,25.666666666666668,7.548387097,0.6266666666666666,10.0,22.0,4.0,4.0
west,2001,JUN,79.0,55.24425287333333,-17.0,65.66666666666667,46.400656813333335,-20.333333333333332,100.0,71.90927750666667,30.666666666666668,30.436666666666667,30.113743843333335,29.596666666666664,10.0,8.885057471333335,0.0,33.333333333333336,7.444170771666667,0.24666666666666667,12.0,0.0,2.0,4.0
west,2001,MAR,80.33333333333333,59.833333333333336,35.333333333333336,67.33333333333333,49.487301583333334,28.0,98.0,70.28888889,33.666666666666664,30.320000000000004,30.034428573333333,29.646666666666665,10.0,8.952380952666667,0.0,29.333333333333332,5.701587301666667,0.0,0.0,0.0,0.0,0.0
west,2001,MAY,84.66666666666667,56.54444444666666,18.0,67.66666666666667,46.177777776666666,13.666666666666666,98.0,69.72222222333333,31.0,30.44666666666667,30.001444443333337,29.423333333333332,10.0,8.888888889,0.0,33.666666666666664,8.366666666333332,0.6733333333333333,10.0,0.0,2.0,10.0
west,2001,NOV,77.0,53.13333333,26.0,57.0,37.36666667,18.0,72.0,56.06666667,22.0,30.49,30.08866667,29.26,10.0,9.366666667,0.0,28.0,8.366666667,0.0,0.0,0.0,0.0,0.0
west,2001,OCT,80.0,55.75862069,28.0,63.0,40.65517241,18.0,73.0,57.79310345,28.0,30.55,30.03724138,29.41,10.0,9.137931034,0.0,36.0,7.75862069,0.0,0.0,0.0,0.0,0.0
west,2001,SEP,89.0,65.96551724,39.0,73.0,53.06896552,30.0,74.0,63.17241379,31.0,30.39,30.06413793,29.57,10.0,9.137931034,0.0,25.0,5.9310344829999995,0.0,0.0,0.0,0.0,0.0
west southwest,2001,ARP,82.5,55.041666665,26.0,66.5,43.004166665,21.5,100.0,68.52916667,23.0,30.439999999999998,30.076166665000002,29.415,10.0,9.129166667,0.5,34.0,10.395833334999999,1.77,20.0,2.0,1.0,10.0
west southwest,2001,AUG,93.0,74.0,52.0,78.0,65.32258065,50.0,100.0,79.0,36.0,30.26,30.01225806,29.7,10.0,8.129032257999999,0.0,30.0,5.483870968,3.18,13.0,0.0,8.0,7.0
west southwest,2001,DEC,68.0,36.09677419,8.0,58.0,29.64516129,1.0,100.0,79.03225806,35.0,30.36,30.07,29.67,10.0,8.129032257999999,0.0,28.0,10.06451613,1.86,7.0,8.0,7.0,1.0
west southwest,2001,FEB,75.5,40.569444445,18.5,55.5,33.132936504999996,11.0,96.5,75.246031745,33.0,30.515,30.19880952,29.77,10.0,8.244047619,0.0,29.5,8.1488095215,1.115,8.0,8.0,3.0,2.0
west southwest,2001,JAN,62.0,43.586021505000005,23.0,55.5,42.0,24.0,100.0,87.26344086,45.0,30.475,30.118010755,29.645,10.0,8.7096774195,5.0,20.0,6.387096774,0.995,7.0,8.0,5.0,0.0
west southwest,2001,JUL,96.0,76.35483871,54.0,80.0,66.90322581,42.0,100.0,75.32258065,27.0,30.27,29.99129032,29.81,10.0,8.451612903,0.0,41.0,6.129032258,2.53,11.0,0.0,7.0,6.0
west southwest,2001,JUN,93.0,69.93333333,46.0,73.0,60.36666667,45.0,100.0,73.4,31.0,30.3,30.004,29.56,10.0,8.633333333,0.0,22.0,6.8,3.46,10.0,0.0,3.0,5.0
west southwest,2001,MAR,70.5,45.967741935,21.5,58.5,35.129032255,15.0,100.0,69.96774193499999,28.5,30.5,30.05612903,29.465,10.0,8.5161290325,0.5,31.0,9.4032258065,0.505,9.0,5.0,1.0,1.0
west southwest,2001,MAY,78.5,50.193548385,25.0,64.0,42.258064515,17.0,100.0,77.85483871,29.5,30.325,29.98870968,29.53,10.0,8.9032258065,0.5,32.5,9.080645161,2.5700000000000003,24.0,7.0,3.0,8.0
west southwest,2001,NOV,75.0,50.0,21.0,59.0,39.13333333,20.0,100.0,69.36666667,22.0,30.5,30.11366667,29.36,10.0,8.4,0.0,29.0,9.8,2.73,9.0,0.0,1.0,3.0
west southwest,2001,OCT,82.0,53.96774194,27.0,66.0,42.70967742,18.0,100.0,68.77419355,26.0,30.54,30.05612903,29.38,10.0,9.096774194,0.0,26.0,9.35483871,4.84,11.0,0.0,2.0,2.0
west southwest,2001,SEP,89.0,64.36666667,36.0,72.0,54.06666667,26.0,100.0,74.83333333,26.0,30.38,30.06566667,29.66,10.0,8.866666667,0.0,25.0,6.833333333,2.21,9.0,0.0,6.0,3.0
central,2002,ARP,87.0,53.183333335,22.5,66.0,41.4,9.5,97.0,68.65,19.0,30.48,30.050166665,29.295,15.0,8.633333333,0.5,78.0,10.733333335000001,2.31,21.0,1.0,1.0,8.0
central,2002,AUG,90.0,72.72580645,55.0,81.5,67.274193545,51.0,100.0,84.45161289999999,38.0,30.3,30.067419355,29.795,15.0,7.741935484,0.0,21.5,5.790322581,3.395,15.0,0.0,6.0,12.0
central,2002,DEC,59.5,31.56451613,9.0,57.0,24.16129032,-0.5,100.0,75.74193548,25.5,30.86,30.04,29.095,15.0,7.919354839,0.0,30.5,9.3064516135,0.685,5.0,9.0,7.0,3.0
central,2002,FEB,61.0,34.303571425,7.5,52.0,24.607142860000003,3.0,97.0,70.0,24.130000000000003,30.54,30.089642855,22.225,15.0,9.125,0.0,47.0,9.9107142865,0.795,9.0,11.0,2.0,1.0
central,2002,JAN,62.0,33.72580644999999,6.0,52.0,23.83870968,-3.5,96.5,69.03225806500001,20.0,30.45,30.010967745000002,29.57,15.0,9.306451613,0.5,24.5,8.129032258,1.025,8.0,9.0,3.0,2.0
central,2002,JUL,95.5,77.677419355,57.0,80.0,67.516129035,37.5,100.0,71.741935485,22.5,30.25,30.043064515,29.785,15.0,8.4838709675,0.5,27.0,5.741935484,2.22,19.0,0.0,1.0,11.0
central,2002,JUN,92.0,74.233333335,51.5,77.0,62.88333333,40.0,100.0,69.616666665,27.0,30.37,29.994166665,29.745,15.0,8.5833333335,0.0,22.0,6.6833333335,0.865,19.0,0.0,2.0,15.0
central,2002,MAR,67.5,37.048387094999995,-1.0,56.0,28.35483871,-8.5,97.0,73.64516129,16.5,30.615000000000002,30.075161290000004,29.509999999999998,15.0,7.9838709675,0.0,36.5,10.58064516,0.85,26.0,16.0,9.0,8.0
central,2002,MAY,92.0,58.564516125,33.0,71.0,48.06451613,19.5,100.0,71.30645161,16.5,30.61,30.032096775,29.41,15.0,9.4354838705,0.0,29.5,9.20967742,2.055,30.0,0.0,2.0,21.0
central,2002,NOV,61.0,38.6,17.0,59.0,31.583333330000002,7.0,100.0,77.85,31.5,30.435000000000002,30.0225,29.310000000000002,15.0,8.25,0.5,27.5,8.6500000015,0.215,14.0,9.0,2.0,0.0
central,2002,OCT,85.0,51.032258065,30.0,71.5,41.612903225,15.0,100.0,74.58064516,22.5,30.49,30.093064515000002,29.525,15.0,8.145161290499999,0.0,26.0,6.7741935479999995,0.61,23.0,0.0,6.0,1.0
central,2002,SEP,90.0,67.58333333,41.5,74.0,56.75,28.5,100.0,72.46666666499999,19.5,30.380000000000003,30.035666665,29.63,15.0,8.2833333335,0.0,22.5,5.25,0.62,14.0,0.0,5.0,3.0
east,2002,ARP,88.0,50.96666666333334,22.666666666666668,67.33333333333333,43.53333333,20.333333333333332,100.0,78.44444444333334,30.666666666666668,30.48,30.053222223333336,29.453333333333333,10.0,8.633333333333333,0.0,36.0,11.177777777666668,2.466666666666667,35.0,6.0,1.0,18.0
east,2002,AUG,93.0,73.52688172,53.666666666666664,80.66666666666667,66.40860215,44.333333333333336,100.0,80.01075269,32.0,30.30333333333333,30.067096773333333,29.78333333333333,10.0,8.150537634666666,0.0,26.0,6.344086021666667,3.2266666666666666,26.0,0.0,12.0,24.0
