"STATION","DATE","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"US10buff017","2005-10",,,,,"6",",N","3",",N","0","5,N","0","5,N",,,,,,,,,,,,,"0","5,,N,31,+","0.0","5,,N,31,+","0.81",",,N,20,",,,,,,,"1.81",",,,N","0.0","5,,,N",,,,,,
"US10buff017","2005-11",,,,,"3",",N","1",",N","1","2,N","1","2,N",,,,,,,,,,,,,"4","2,,N,29,","4.0","2,,N,29,","0.78",",,N,28,",,,,,,,"0.87",",,,N","4.1","2,,,N",,,,,,
"US10buff017","2005-12",,,,,"1",",N","0",",N",,,,,,,,,,,,,,,,,,,,,"0.05",",,N,30,",,,,,,,"0.05",",,,N",,,,,,,,
"US10buff017","2006-01",,,,,"3","2,N","1","2,N","0","2,N","0","2,N",,,,,,,,,,,,,"0","2,,N,31,+","0.0","2,,N,31,+","0.16","2,,N,28,",,,,,,,"0.22","2,,,N","0.0","2,,,N",,,,,,
"US10buff017","2006-02",,,,,"0","2,N","0","2,N","2","2,N","1","2,N",,,,,,,,,,,,,"1","2,,N,17,","1.0","2,,N,16,","0.00","2,,N,28,+",,,,,,,"0.00","2,,,N","1.9","2,,,N",,,,,,
"US10buff017","2006-03",,,,,"7","5,N","6","5,N","3","5,N","2","5,N",,,,,,,,,,,,,"10","5,,N,21,","7.1","5,,N,21,","1.25","5,,N,21,",,,,,,,"3.34","5,,,N","10.1","5,,,N",,,,,,
"US10buff017","2006-04",,,,,"7","5,N","4","5,N","0","5,N","0","5,N",,,,,,,,,,,,,"0","5,,N,30,+","0.1","5,,N,03,","0.66","5,,N,02,",,,,,,,"1.71","5,,,N","0.1","5,,,N",,,,,,
"US10buff017","2006-05",,,,,"10",",N","4",",N","0","2,N","0","2,N",,,,,,,,,,,,,"0","2,,N,31,+","0.0","2,,N,31,+","0.50",",,N,31,",,,,,,,"1.03",",,,N","0.0","2,,,N",,,,,,
"US10buff017","2006-06",,,,,"8",",N","3",",N",,,,,,,,,,,,,,,,,,,,,"3.88",",,N,16,",,,,,,,"4.44",",,,N",,,,,,,,
"US10buff017","2006-07",,,,,"7",",N","7",",N","0","2,N","0","2,N",,,,,,,,,,,,,"0","2,,N,31,+","0.0","2,,N,31,+","1.26",",,N,21,",,,,,,,"2.50",",,,N","0.0","2,,,N",,,,,,
"US10buff017","2006-08",,,,,"12",",N","10",",N","0","3,N","0","3,N",,,,,,,,,,,,,"0","3,,N,31,+","0.0","3,,N,31,+","1.70",",,N,13,",,,,,,,"7.05",",,,N","0.0","3,,,N",,,,,,
"US10buff017","2006-09",,,,,"7",",N","5",",N",,,,,,,,,,,,,,,,,,,,,"2.16",",,N,10,",,,,,,,"3.60",",,,N",,,,,,,,
"US10buff017","2006-10",,,,,"6",",N","4",",N","0","1,N","0","1,N",,,,,,,,,,,,,"0","1,,N,31,+","0.5","1,,N,18,","0.74",",,N,09,",,,,,,,"1.73",",,,N","0.5","1,,,N",,,,,,
"US10buff017","2006-11",,,,,"5",",N","1",",N","0",",N","0",",N",,,,,,,,,,,,,"0",",,N,30,+","0.5",",,N,15,","0.40",",,N,15,",,,,,,,"0.51",",,,N","0.5",",,,N",,,,,,
"US10buff017","2006-12",,,,,"6",",N","4",",N","0","1,N","0","1,N",,,,,,,,,,,,,"0","1,,N,31,+","0.0","1,,N,31,+","1.31",",,N,30,",,,,,,,"2.57",",,,N","0.0","1,,,N",,,,,,
"US10buff017","2007-01",,,,,"4","2,N","2","2,N","0","4,N","1","3,N",,,,,,,,,,,,,"0","4,,N,31,+","1.5","3,,N,14,","0.63","2,,N,21,",,,,,,,"0.80","2,,,N","2.1","3,,,N",,,,,,
"US10buff017","2007-02",,,,,"6","2,N","2","2,N",,,"1","2,N",,,,,,,,,,,,,,,"1.5","2,,N,13,","0.15","2,,N,13,",,,,,,,"0.36","2,,,N","2.6","2,,,N",,,,,,
"US10buff017","2007-04",,,,,"11","4,N","6","4,N",,,"1","4,N",,,,,,,,,,,,,,,"1.0","4,,N,06,","4.66","4,,N,25,",,,,,,,"8.07","4,,,N","1.0","4,,,N",,,,,,
"US10buff017","2007-05",,,,,"12","2,N","9","2,N",,,"0","2,N",,,,,,,,,,,,,,,"0.0","2,,N,31,+","1.27","2,,N,30,",,,,,,,"4.75","2,,,N","0.0","2,,,N",,,,,,
"US10buff017","2007-06",,,,,"8","3,N","7","3,N",,,"0","3,N",,,,,,,,,,,,,,,"0.0","3,,N,30,+","1.08","3,,N,14,",,,,,,,"3.92","3,,,N","0.0","3,,,N",,,,,,
"US10buff017","2007-07",,,,,"10","1,N","5","1,N",,,"0","1,N",,,,,,,,,,,,,,,"0.0","1,,N,31,+","2.67","1,,N,29,",,,,,,,"4.32","1,,,N","0.0","1,,,N",,,,,,
"US10buff017","2007-08",,,,,"7","3,N","4","3,N",,,"0","3,N",,,,,,,,,,,,,,,"0.0","3,,N,31,+","1.42","3,,N,07,",,,,,,,"3.70","3,,,N","0.0","3,,,N",,,,,,
"US10buff017","2007-09",,,,,"9","1,N","5","1,N",,,"0","1,N",,,,,,,,,,,,,,,"0.0","1,,N,30,+","1.02","1,,N,10,",,,,,,,"2.22","1,,,N","0.0","1,,,N",,,,,,
"US10buff017","2007-10",,,,,"8","1,N","7","1,N",,,"0","1,N",,,,,,,,,,,,,,,"0.0","1,,N,31,+","0.88","1,,N,14,",,,,,,,"3.24","1,,,N","0.0","1,,,N",,,,,,
"US10buff017","2007-11",,,,,"2","1,N","0","1,N",,,"0","1,N",,,,,,,,,,,,,,,"0.6","1,,N,24,+","0.05","1,,N,24,",,,,,,,"0.09","1,,,N","1.2","1,,,N",,,,,,
"US10buff017","2007-12",,,,,"11","4,N","7","4,N",,,"6","4,N",,,,,,,,,,,,,,,"1.8","4,,N,15,","0.20","4,,N,01,",,,,,,,"1.20","4,,,N","10.3","4,,,N",,,,,,
"US10buff017","2008-01",,,,,"5","1,N","0","1,N",,,"0","1,N",,,,,,,,,,,,,,,"0.5","1,,N,29,","0.04","1,,N,29,",,,,,,,"0.10","1,,,N","1.9","1,,,N",,,,,,
"US10buff017","2008-03",,,,,"6",",N","2",",N",,,"1","2,N",,,,,,,,,,,,,,,"1.0","2,,N,17,","0.33",",,N,31,",,,,,,,"0.75",",,,N","1.3","2,,,N",,,,,,
"US10buff017","2008-04",,,,,"11",",N","7",",N",,,"1","4,N",,,,,,,,,,,,,,,"3.0","4,,N,11,","1.30",",,N,11,+",,,,,,,"4.46",",,,N","3.0","4,,,N",,,,,,
"US10buff017","2008-05",,,,,"15",",N","10",",N",,,"0","3,N",,,,,,,,,,,,,,,"0.0","3,,N,31,+","3.81",",,N,24,",,,,,,,"10.34",",,,N","0.0","3,,,N",,,,,,
"US10buff017","2008-06",,,,,"14","1,N","6","1,N",,,"0","1,N",,,,,,,,,,,,,,,"0.0","1,,N,30,+","2.25","1,,N,24,",,,,,,,"4.96","1,,,N","0.0","1,,,N",,,,,,
"US10buff017","2008-08",,,,,"8","5,N","4","5,N",,,"0","5,N",,,,,,,,,,,,,,,"0.0","5,,N,31,+","0.57","5,,N,07,",,,,,,,"1.30","5,,,N","0.0","5,,,N",,,,,,
"US10buff017","2008-09",,,,,"9","5,N","4","5,N",,,"0","5,N",,,,,,,,,,,,,,,"0.0","5,,N,30,+","0.64","5,,N,02,",,,,,,,"1.34","5,,,N","0.0","5,,,N",,,,,,
"US10buff017","2008-10",,,,,"10","5,N","8","5,N",,,"1","5,N",,,,,,,,,,,,,,,"3.0","5,,N,23,","2.80","5,,N,07,",,,,,,,"8.56","5,,,N","3.0","5,,,N",,,,,,
"US10buff015","2004-09",,,,,"6",",N","5",",N",,,,,,,,,,,,,,,,,,,,,"1.42",",,N,23,",,,,,,,"3.86",",,,N",,,,,,,,
"US10buff015","2004-10",,,,,"7",",N","3",",N",,,,,,,,,,,,,,,,,,,,,"0.29",",,N,07,+",,,,,,,"0.76",",,,N",,,,,,,,
"US10buff015","2004-11",,,,,"5",",N","4",",N",,,,,,,,,,,,,,,,,,,,,"0.96",",,N,18,",,,,,,,"2.33",",,,N",,,,,,,,
"US10buff015","2004-12",,,,,"0",",N","0",",N",,,,,,,,,,,,,,,,,,,,,"0.00",",,N,31,+",,,,,,,"0.00",",,,N",,,,,,,,
"US10buff015","2005-01",,,,,"3",",N","2",",N",,,,,,,,,,,,,,,,,,,,,"0.75",",,N,06,",,,,,,,"1.06",",,,N",,,,,,,,
